property_id,coordinates,StationID,min_route_dist_m,min_route_dur_s
17755774,POINT (145.0734838 -37.6817806),43441,374.1,48.32
17755772,POINT (145.2680354 -38.1042769),22890,765.64,133.21
17755750,POINT (145.120458 -38.1465159),13326,403.28,94.76
17755747,POINT (144.9871702 -37.8057939),19729,684.36,118.66
17755741,POINT (144.9503644 -37.759142),10534,78.4,8.06
17755729,POINT (142.146752 -34.1814754),37135,23.13,2.08
17755727,POINT (144.7706805 -37.908372),46655,472.04,65.67
17755726,POINT (145.0401873 -37.8902143),18403,133.48,29.84
17755710,POINT (147.7905644 -37.7899678),,,
17755696,POINT (145.0519497 -37.8543496),18953,38.09,4.57
17755680,POINT (144.985324 -37.8607646),19703,134.72,20.94
17755671,POINT (144.5680295 -37.7303268),28815,956.0,134.0
17755661,POINT (144.9503239 -37.7657676),4764,69.22,13.6
17755660,POINT (145.1263913 -38.0534761),2794,427.67,65.03
17755657,POINT (144.8820937 -37.6920221),9106,214.58,17.22
17755645,POINT (145.0688456 -37.8014198),4643,0.78,0.05
17755641,POINT (145.0276432 -37.6571211),1017,592.38,73.57
17755611,POINT (145.2435852 -38.12481140000001),21396,1272.7,119.32
17755600,POINT (145.8289788 -36.4683496),,,
17755597,POINT (144.9248598 -37.78472),3224,344.33,63.07
17755587,POINT (144.9607774 -37.8084104),12198,310.88,48.57
17755571,POINT (144.952244 -37.8107573),19507,252.24,32.24
17755531,POINT (144.8752076 -37.787642),3896,232.5,54.93
17755528,POINT (144.9855712 -37.8082312),19729,151.24,26.03
17755498,POINT (144.9274831 -37.6812249),8859,276.47,64.64
17755490,POINT (145.0079393 -37.5967034),28090,1344.86,209.77
17755486,POINT (145.278023 -37.8607034),14855,219.84,22.38
17755484,POINT (145.0060709 -37.8405588),18707,59.06,7.09
17755477,POINT (144.7475488 -37.7289208),46033,446.96,73.57
17755476,POINT (144.7087917 -37.5973884),28501,498.01,101.97
17755466,POINT (145.1338299 -38.1350503),12077,170.53,37.84
17755460,POINT (145.1109663 -37.7660933),5538,611.3,137.33
17755451,POINT (145.018408 -37.7407295),2282,144.82,19.56
17755443,POINT (145.2621979 -38.0445448),51278,521.15,115.81
17755433,POINT (144.886413 -37.6321),20683,1124.5,164.79
17755431,POINT (144.7171507 -37.5716258),8614,183.94,14.71
17755415,POINT (144.7614796 -37.906475),46649,701.08,100.28
17755412,POINT (144.6900457 -37.7567486),46694,3145.58,337.27
17755407,POINT (144.8883499 -37.8045747),11405,219.59,35.31
17755393,POINT (145.2681745 -38.0461552),45548,454.83,96.35
17755388,POINT (145.0082726 -37.8207565),19715,171.58,22.17
17755387,POINT (142.1522719 -34.1942601),37047,3.06,0.13
17755373,POINT (145.4878253 -38.2025274),17341,686.6,121.56
17755370,POINT (144.624241 -37.896727),44365,310.49,30.12
17755364,POINT (145.2509116 -37.9721087),489,396.24,40.25
17755360,POINT (144.9473735 -37.8185768),48729,383.75,50.98
17755349,POINT (145.0228253 -37.9163598),16894,87.11,9.13
17755342,POINT (143.819451 -37.5941103),50283,757.96,79.45
17755337,POINT (144.7724914 -37.6180168),20789,3262.77,327.87
17755335,POINT (144.9809669 -37.8730114),1105,187.67,40.31
17755329,POINT (145.053849 -37.754434),10970,75.5,10.87
17755327,POINT (144.7160942 -37.9098084),46662,1229.27,137.67
17755320,POINT (145.1318797 -37.8844477),12639,198.74,35.55
17755318,POINT (144.9508578 -37.8229872),18179,397.59,64.62
17755304,POINT (145.0445402 -37.8533406),18951,91.74,6.6
17755281,POINT (145.1149229 -37.90708590000001),1553,176.26,19.72
17755280,POINT (145.0319502 -37.8322552),20558,244.9,44.74
17755277,POINT (144.854088 -37.7476334),10774,397.48,57.23
17755273,POINT (144.5696788 -37.7008689),6644,212.16,26.11
17755257,POINT (144.7580608 -37.9127201),46649,266.23,36.03
17755226,POINT (145.1331256 -38.1569192),14353,223.19,25.58
17755224,POINT (143.8880285 -37.6182931),52054,701.03,168.24
17755205,POINT (145.0066319 -37.7563229),560,483.35,87.51
17755197,POINT (145.0784981 -37.6003308),51056,520.59,70.74
17755195,POINT (145.0736731 -37.6274716),40957,165.49,21.94
17755173,POINT (144.9957902 -37.8375514),18605,68.08,8.17
17755164,POINT (142.5073165 -38.3853141),36392,2155.72,213.19
17755161,POINT (144.6981912 -37.8143793),28537,3628.0,390.57
17755149,POINT (145.0127491 -37.8538149),3945,151.9,29.33
17755148,POINT (144.973063 -37.8562528),20505,474.14,37.44
