property_id,rental_price,bedrooms,bathrooms,car_spaces,property_type,suburb,year,quarter,address
16663857,600.0,3,1,4,House,wheelers hill,2024,4,"Jacaranda Road Wheelers, Hill, VIC 3150"
16901526,600.0,3,2,2,Apartment / Unit / Flat,wheelers hill,2024,4,"49 Whalley Drive Wheelers, Hill, VIC 3150"
17168873,690.0,3,2,2,House,wheelers hill,2024,4,"Basil Crescent Wheelers, Hill, VIC 3150"
17251583,625.0,4,1,1,House,wheelers hill,2024,4,"Jodi Avenue Wheelers, Hill, VIC 3150"
17262535,660.0,4,1,2,House,wheelers hill,2024,4,"Meadowbrook Drive Wheelers, Hill, VIC 3150"
17289011,890.0,4,3,2,Townhouse,wheelers hill,2024,4,"315 Jells Road Wheelers, Hill, VIC 3150"
17299326,850.0,4,3,2,Townhouse,wheelers hill,2024,4,"315 Jells Road Wheelers, Hill, VIC 3150"
17309583,875.0,4,3,2,House,wheelers hill,2024,4,"Grandview Road Wheelers, Hill, VIC 3150"
17311597,700.0,4,2,2,House,wheelers hill,2024,4,"Rembrandt Drive Wheelers, Hill, VIC 3150"
17332516,500.0,2,1,1,Apartment / Unit / Flat,wheelers hill,2024,4,"8 County Close Wheelers, Hill, VIC 3150"
17333828,890.0,4,3,1,House,wheelers hill,2024,4,"224a Brandon Park Drive Wheelers, Hill, VIC 3150"
17335243,950.0,4,3,2,Townhouse,wheelers hill,2024,4,"4 Conrad Place Wheelers, Hill, VIC 3150"
17336114,1150.0,5,2,2,House,wheelers hill,2024,4,"Picadilly Place Wheelers, Hill, VIC 3150"
17341342,525.0,3,1,1,Apartment / Unit / Flat,wheelers hill,2024,4,"33 Miriam Close Wheelers, Hill, VIC 3150"
17349655,900.0,4,2,2,House,wheelers hill,2024,4,"Radleigh Drive Wheelers, Hill, VIC 3150"
15486726,650.0,3,2,2,House,croydon-lilydale,2024,4,"9 Jesmond Road, Croydon, VIC 3136"
17337466,460.0,3,2,2,House,ringwood,2024,4,"Felix Crescent, Ringwood, VIC 3134"
17342194,500.0,2,1,1,Apartment / Unit / Flat,ringwood,2024,4,"40 Arlington Street, Ringwood, VIC 3134"
17346900,450.0,2,1,1,House,ringwood,2024,4,"22 Bedford Road, Ringwood, VIC 3134"
17350077,660.0,3,2,2,Townhouse,croydon-lilydale,2024,4,"1 Leyland Street, Croydon, VIC 3136"
17370461,620.0,3,2,2,Apartment / Unit / Flat,croydon-lilydale,2024,4,"41 Dorset Rd, Croydon, VIC 3136"
17372350,730.0,3,2,1,Townhouse,croydon-lilydale,2024,4,"Jesmond Rd, Croydon, VIC 3136"
17374709,490.0,2,1,1,Apartment / Unit / Flat,ringwood,2024,4,"10 Greenwood Avenue, Ringwood, VIC 3134"
17378581,475.0,2,1,1,Apartment / Unit / Flat,ringwood,2024,4,"7 Harrison Street, Ringwood, VIC 3134"
17381968,680.0,3,3,1,Townhouse,ringwood,2024,4,"55 Mullum Mullum Road, Ringwood, VIC 3134"
17382344,780.0,4,2,2,House,croydon-lilydale,2024,4,"25a Dixon Avenue, Croydon, VIC 3136"
17382697,500.0,2,1,1,Apartment / Unit / Flat,ringwood,2024,4,"40 Barkly Street, Ringwood, VIC 3134"
17384351,460.0,2,1,2,Apartment / Unit / Flat,ringwood,2024,4,"41 Thomas Street, Ringwood, VIC 3134"
17384641,450.0,1,1,1,Apartment / Unit / Flat,croydon-lilydale,2024,4,"101c Mount View Parade, Croydon, VIC 3136"
17384645,870.0,4,2,2,Townhouse,croydon-lilydale,2024,4,"6 Gladys Grove, Croydon, VIC 3136"
17385862,740.0,4,3,2,House,croydon-lilydale,2024,4,"Bambra Street, Croydon, VIC 3136"
17386696,705.0,3,2,1,House,ringwood,2024,4,"Inez Avenue, Ringwood, VIC 3134"
17386976,700.0,4,2,2,House,chirnside park,2024,4,"Mansion Pl Chirnside, Park, VIC 3116"
15193024,1250.0,3,3,2,House,armadale,2024,3,"2b Sutherland Road, Armadale, VIC 3143"
17008158,470.0,2,1,2,House,armadale,2024,3,"25 Gladstone Avenue, Armadale, VIC 3143"
17051773,1295.0,5,2,4,House,armadale,2024,3,"Llaneast Street, Armadale, VIC 3143"
17079014,435.0,1,1,1,Apartment / Unit / Flat,armadale,2024,3,"High Street, Armadale, VIC 3143"
17080851,625.0,2,1,1,Apartment / Unit / Flat,armadale,2024,3,"19 Mercer Road, Armadale, VIC 3143"
17085522,1195.0,3,1,1,House,armadale,2024,3,"Hume Street, Armadale, VIC 3143"
17091657,435.0,1,1,1,Apartment / Unit / Flat,armadale,2024,3,"860 High Street, Armadale, VIC 3143"
17100502,700.0,2,1,2,Apartment / Unit / Flat,armadale,2024,3,"9 Barnato Grove, Armadale, VIC 3143"
17109233,590.0,1,1,1,Apartment / Unit / Flat,armadale,2024,3,"8e Evergreen Mews, Armadale, VIC 3143"
17110061,895.0,3,2,2,Apartment / Unit / Flat,armadale,2024,3,"511 Dandenong Road, Armadale, VIC 3143"
17119601,730.0,2,2,1,Apartment / Unit / Flat,armadale,2024,3,"7 Evergreen Mews, Armadale, VIC 3143"
17123749,1100.0,3,1,1,House,armadale,2024,3,"Barkly Avenue, Armadale, VIC 3143"
17124959,725.0,3,2,1,Townhouse,armadale,2024,3,"58 Wattletree Road, Armadale, VIC 3143"
17125839,1695.0,4,2,3,House,armadale,2024,3,"Barnato Grove, Armadale, VIC 3143"
17126740,650.0,3,1,1,Apartment / Unit / Flat,armadale,2024,3,"41 Kooyong Road, Armadale, VIC 3143"
17128940,500.0,2,1,1,Apartment / Unit / Flat,armadale,2024,3,"537 Orrong Road, Armadale, VIC 3143"
17136788,675.0,2,1,1,Apartment / Unit / Flat,armadale,2024,3,"50a Wattletree Road, Armadale, VIC 3143"
17141055,520.0,2,1,1,Apartment / Unit / Flat,armadale,2024,3,"6 Bailey Avenue, Armadale, VIC 3143"
17141707,1300.0,3,2,1,House,armadale,2024,3,"Clendon Road, Armadale, VIC 3143"
14822893,380.0,3,2,2,House,ballarat central,2024,3,"Holmes Street Ballarat, Central, VIC 3350"
16775931,440.0,2,1,1,Apartment / Unit / Flat,ballarat central,2024,3,"4 Lyons Street South Ballarat, Central, VIC 3350"
