property_id,coordinates,driving_5min,driving_10min,driving_15min,walking_5min,walking_10min,walking_15min
17680397,POINT (-37.7535636 145.0142759),,,,,,
17441343,POINT (-38.6567396 143.1263245),,,,,,
17747785,POINT (-37.7833328 144.9664891),,,,,,
17732885,POINT (-37.7347488 144.9842349),,,,,,
17744316,POINT (-38.2696069 144.6587969),,,,,,
17754188,POINT (-36.7716663 144.2796252),,,,,,
17711108,POINT (-36.7718918 144.2754434),,,,,,
17746108,POINT (-36.7727274 144.2782526),,,,,,
17489504,POINT (-36.7672453 144.2830959),,,,,,
16586635,POINT (-36.7679493 144.2816519),,,,,,
17747063,POINT (-36.7750939 144.2840029),,,,,,
17735193,POINT (-34.3150639 142.186698),,,,,,
17741850,POINT (-34.3023901 142.196156),,,,,,
17751486,POINT (-34.3063751 142.1890656),,,,,,
17212624,POINT (-34.3150639 142.186698),,,,,,
15517959,POINT (-34.3056912 142.1890656),,,,,,
17379447,POINT (-38.3987535 145.0273042),,,,,,
17749880,POINT (-37.5718137 143.8337471),,,,,,
17706905,POINT (-37.5710022 143.8412507),,,,,,
17745200,POINT (-37.5791867 143.8429355),,,,,,
17687378,POINT (-37.5787638 143.8412933),,,,,,
17717827,POINT (-37.7113693 145.0104118),,,,,,
17697750,POINT (-37.7292114 145.0054018),,,,,,
17683164,POINT (-37.72886 145.0303797),,,,,,
17708770,POINT (-37.7272064 145.032526),,,,,,
17696475,POINT (-37.72585309999999 145.0258989),,,,,,
17715347,POINT (-37.7082983 145.024237),,,,,,
15799953,POINT (-37.71797 145.0007402),,,,,,
17368743,POINT (-37.7283918 145.0116379),,,,,,
17738975,POINT (-37.6963341 145.0128389),,,,,,
17214780,POINT (-37.706109 145.025878),,,,,,
17679765,POINT (-37.7175314 145.0181009),,,,,,
17752308,POINT (-37.7179365 145.0028145),,,,,,
17739564,POINT (-37.7107557 145.0013801),,,,,,
15393921,POINT (-37.7179006 145.0124069),,,,,,
17735101,POINT (-37.7096242 145.0084663),,,,,,
17737688,POINT (-37.709096 145.008163),,,,,,
17717511,POINT (-37.7155451 144.9822385),,,,,,
17744137,POINT (-37.723944 145.003378),,,,,,
15858222,POINT (-37.7177244 145.0177701),,,,,,
17735102,POINT (-37.72793850000001 144.9920081),,,,,,
17747038,POINT (-37.6974727 145.0081546),,,,,,
17730890,POINT (-37.705451 145.011658),,,,,,
15240397,POINT (-37.7276523 145.0324338),,,,,,
17747586,POINT (-37.6983144 145.0167105),,,,,,
17695238,POINT (-37.698786 145.0227546),,,,,,
16536810,POINT (-37.7320724 145.0276449),,,,,,
17737915,POINT (-37.7172603 144.9974889),,,,,,
17683519,POINT (-37.73228 145.035849),,,,,,
17743927,POINT (-37.7178006 144.9958052),,,,,,
17721816,POINT (-37.702889 145.0222085),,,,,,
17725192,POINT (-37.7096786 145.0132683),,,,,,
17616243,POINT (-37.71215 145.004616),,,,,,
17752707,POINT (-37.7221628 145.0017946),,,,,,
17754837,POINT (-37.715619 145.0018916),,,,,,
17742490,POINT (-37.7136932 145.011324),,,,,,
17669722,POINT (-37.7074668 145.0100879),,,,,,
17733036,POINT (-37.7081062 145.0334455),,,,,,
17292142,POINT (-37.700537 145.0234165),,,,,,
17748443,POINT (-37.7071316 145.0108148),,,,,,
17735041,POINT (-37.7272985 145.0332123),,,,,,
16350527,POINT (-37.7132315 144.9876052),,,,,,
15961816,POINT (-37.69767969999999 145.0233187),,,,,,
17606132,POINT (-37.73115 145.0312578),,,,,,
17729339,POINT (-37.718488 145.01705),,,,,,
16282040,POINT (-37.7154324 144.9962074),,,,,,
15211033,POINT (-37.71699 145.0044844),,,,,,
17750637,POINT (-37.7175428 145.0198282),,,,,,
17692980,POINT (-37.6961744 145.0128935),,,,,,
17747109,POINT (-37.823666 145.0050501),,,,,,
17742487,POINT (-37.8180374 144.9959863),,,,,,
17736475,POINT (-37.8139358 145.0012179),,,,,,
17757627,POINT (-37.828007 144.998952),,,,,,
17004192,POINT (-37.8200826 145.0038155),,,,,,
17744778,POINT (-37.8206159 145.0028042),,,,,,
17731584,POINT (-37.8126488 145.0093583),,,,,,
17700756,POINT (-37.8168359 144.9987901),,,,,,
17745504,POINT (-37.8239369 145.0003851),,,,,,
17745977,POINT (-37.8244982 144.995102),,,,,,
17736605,POINT (-37.8126908 145.0084579),,,,,,
17711780,POINT (-37.8146662 145.0120442),,,,,,
17647145,POINT (-37.8113552 145.0071609),,,,,,
17729696,POINT (-37.8189348 145.0131539),,,,,,
17715518,POINT (-37.8165472 145.0036039),,,,,,
17674443,POINT (-37.8119053 144.9928311),,,,,,
17749713,POINT (-37.8205428 144.9929491),,,,,,
17732215,POINT (-37.8182907 144.9901318),,,,,,
17690114,POINT (-37.8126908 145.0084579),,,,,,
17751345,POINT (-37.8183059 144.9929785),,,,,,
17623049,POINT (-37.8253746 144.9995324),,,,,,
17730910,POINT (-37.8231209 145.0032566),,,,,,
17757884,POINT (-37.8139295 145.0002351),,,,,,
17731422,POINT (-37.8257481 145.0057446),,,,,,
17751729,POINT (-37.8149566 144.9930454),,,,,,
17075297,POINT (-37.8264207 144.989458),,,,,,
17598161,POINT (-37.8129281 144.9925055),,,,,,
17733860,POINT (-37.8221085 144.9987889),,,,,,
17736510,POINT (-37.8239573 145.0089121),,,,,,
15207773,POINT (-37.8154413 145.0111408),,,,,,
17703317,POINT (-37.8154413 145.0111408),,,,,,
17725688,POINT (-37.8257467 145.0086335),,,,,,
17721221,POINT (-37.8193916 145.0020531),,,,,,
17747189,POINT (-37.8169108 145.0058002),,,,,,
17736024,POINT (-37.8227949 144.9942555),,,,,,
11665460,POINT (-37.8189332 144.9941581),,,,,,
17741133,POINT (-37.8145341 145.0120399),,,,,,
17758510,POINT (-37.8199225 144.9928623),,,,,,
17740564,POINT (-37.8146662 145.0120442),,,,,,
17740201,POINT (-37.8249447 144.9947777),,,,,,
17758108,POINT (-37.8207565 145.0082726),,,,,,
17755388,POINT (-37.8207565 145.0082726),,,,,,
17681811,POINT (-37.8142489 145.0009663),,,,,,
17721089,POINT (-37.825752 145.0069692),,,,,,
17744545,POINT (-37.817429 145.0084018),,,,,,
14086539,POINT (-37.8150818 145.0114781),,,,,,
17751829,POINT (-37.8257481 145.0057446),,,,,,
17752712,POINT (-37.8165887 144.9945425),,,,,,
17719611,POINT (-37.4580577 144.6789184),,,,,,
17757194,POINT (-37.8074569 145.225582),,,,,,
17731380,POINT (-37.814609 145.2349269),,,,,,
17747027,POINT (-37.8139934 145.2202772),,,,,,
17746581,POINT (-37.8163483 145.2310845),,,,,,
17746901,POINT (-37.8083916 145.2415409),,,,,,
17002753,POINT (-37.8015923 145.2425157),,,,,,
17758315,POINT (-37.8009531 145.2380292),,,,,,
15810556,POINT (-37.8176537 145.2298543),,,,,,
17689088,POINT (-37.8309425 145.2265997),,,,,,
17549959,POINT (-37.8126913 145.2248614),,,,,,
17739111,POINT (-37.8121385 145.2240746),,,,,,
17742317,POINT (-37.8140612 145.2317423),,,,,,
17739188,POINT (-37.8130592 145.2252746),,,,,,
17707905,POINT (-37.809438 145.223913),,,,,,
17682950,POINT (-37.8120599 145.2331306),,,,,,
