bedrooms,property_id,year,coordinates,source,quarter,bathrooms,rental_price,suburb,longitude,car_spaces,latitude,property_type
3,17753539,2025,POINT (145.4100456 -38.0601124),live,3,2,600.0,officer,145.4100456,2,-38.0601124,townhouse
4,17754915,2025,POINT (145.4053837 -38.0517841),live,3,2,650.0,officer,145.4053837,2,-38.0517841,house
4,17707700,2025,POINT (145.4086912 -38.0580151),live,3,2,600.0,officer,145.4086912,2,-38.0580151,house
3,17709053,2025,POINT (145.434096 -38.0740642),live,3,2,530.0,officer,145.434096,2,-38.0740642,townhouse
3,17726235,2025,POINT (145.394563 -38.071416),live,3,2,565.0,officer,145.394563,1,-38.071416,house
3,17731913,2025,POINT (145.4250099 -38.0665035),live,3,2,540.0,officer,145.4250099,2,-38.0665035,townhouse
4,17735436,2025,POINT (145.3996052 -38.07145089999999),live,3,2,620.0,officer,145.3996052,2,-38.07145089999999,house
5,17739885,2025,POINT (145.3989487 -38.06789759999999),live,3,2,700.0,officer,145.3989487,2,-38.06789759999999,house
3,17745951,2025,POINT (145.4100456 -38.0601124),live,3,2,530.0,officer,145.4100456,2,-38.0601124,house
4,17755974,2025,POINT (145.4013559 -38.0693371),live,3,2,620.0,officer,145.4013559,2,-38.0693371,house
3,16717921,2025,POINT (145.4063014 -38.0558972),live,3,1,600.0,officer,145.4063014,4,-38.0558972,house
3,17758390,2025,POINT (145.3967355 -38.07035219999999),live,3,2,570.0,officer,145.3967355,1,-38.07035219999999,townhouse
3,17651923,2025,POINT (145.391637 -38.0657773),live,3,2,560.0,officer,145.391637,2,-38.0657773,house
2,16487314,2025,POINT (145.4037218 -38.0715313),live,3,2,500.0,officer,145.4037218,1,-38.0715313,townhouse
4,17718131,2025,POINT (145.4195922 -38.0523149),live,3,2,850.0,officer,145.4195922,2,-38.0523149,house
4,17719368,2025,POINT (145.3990734 -38.0590588),live,3,2,570.0,officer,145.3990734,2,-38.0590588,house
3,17718956,2025,POINT (145.4246695 -38.076268),live,3,1,540.0,officer,145.4246695,2,-38.076268,house
4,17719485,2025,POINT (145.3908214 -38.0652625),live,3,2,640.0,officer,145.3908214,2,-38.0652625,house
