property_id,coordinates
16478201,POINT (-37.8350072 144.8618556)
16478115,POINT (145.039766 -37.827746)
16477996,POINT (-37.9059422 145.1262567)
16477651,POINT (145.7175497 -38.0969593)
16477225,POINT (144.175107 -37.337408)
16474565,POINT (147.034309 -38.103064)
16473880,POINT (147.073064 -38.092769)
16472264,POINT (144.9181817 -37.7167741)
16472155,POINT (145.149649 -38.136979)
16471809,POINT (145.083632 -37.632398)
16471227,POINT (-37.4071699 144.9619365)
16470569,POINT (145.2938537 -38.056949)
16467234,POINT (145.161959 -38.145693)
16466631,POINT (144.138388 -37.316158)
16466139,POINT (145.1424014 -37.0332107)
16465974,POINT (145.2574973 -37.7937994)
16464372,POINT (145.114398 -38.1531)
16464126,POINT (145.0907854 -38.1928274)
16462855,POINT (144.7728503 -37.7750403)
16461161,POINT (144.9867531 -37.8759518)
16461105,POINT (145.1094206 -37.8024524)
16460330,POINT (145.4886693 -36.3609885)
16457922,POINT (144.9664872 -37.7335701)
16457636,POINT (144.9892508 -37.8484611)
16456733,POINT (-37.7671655 144.6917854)
16456520,POINT (144.96761 -37.820801)
16455930,POINT (144.959713 -37.825774)
16454622,POINT (144.131294 -37.30894)
16454146,POINT (-37.7705289 144.9720639)
16454070,POINT (145.1917862 -38.0960997)
16453737,POINT (144.9586038 -37.8175105)
16452461,POINT (-37.8697484 144.7637385)
16452019,POINT (145.133553 -38.136967)
16451851,POINT (144.152179 -37.352998)
16451268,POINT (-37.7404932 144.999752)
16450907,POINT (142.9110631 -38.2379515)
16449922,POINT (144.959479 -37.826778)
16449447,POINT (144.959713 -37.825774)
16449251,POINT (-37.6874663 144.401752)
16447324,POINT (144.13333 -37.4)
16446569,POINT (144.5503709 -37.7821653)
16445957,POINT (-38.6981907 145.8650392)
16442246,POINT (144.959713 -37.825774)
16440698,POINT (144.14739 -37.335312)
16440354,POINT (145.1364898 -37.9548706)
16440316,POINT (-38.383948 144.847787)
16438857,POINT (145.4333541 -38.4117689)
16438341,POINT (-36.3637973 145.4005837)
16438163,POINT (-38.1050969 145.3551471)
16437455,POINT (147.067697 -38.102112)
16436901,POINT (144.9778335 -37.8592176)
16435793,POINT (143.8237459 -37.6313815)
16435762,POINT (145.041494 -38.2187609)
16435404,POINT (-37.6846994 145.0579082)
16433902,POINT (145.168501 -38.149266)
16432604,POINT (144.964698 -37.821334)
16431901,POINT (145.4042294 -36.3995443)
16431697,POINT (-37.954132 145.157101)
16428177,POINT (144.240924 -37.300049)
16427168,POINT (-38.0727658 145.2956239)
16423920,POINT (144.7340494 -37.6873181)
16422265,POINT (-36.7336576 144.1372422)
16415016,POINT (144.959479 -37.826778)
16414420,POINT (144.9654086 -37.8044929)
16413807,POINT (145.296254 -37.7975509)
16413602,POINT (143.800781 -37.5932691)
16412751,POINT (145.4032109 -36.3747332)
16412399,POINT (144.137325 -37.351809)
16411898,POINT (145.0201877 -37.745294)
16411737,POINT (145.0213753 -37.6976958)
16411176,POINT (-37.84816410000001 145.1334664)
16410976,POINT (145.26796 -37.8699057)
16410483,POINT (-36.7456159 144.294778)
16410056,POINT (145.170298 -37.829737)
16409108,POINT (145.0553834 -37.9659867)
16407266,POINT (144.9089819 -37.8129847)
16406595,POINT (144.9761406 -37.8694209)
16406548,POINT (-37.8522676 144.9793122)
16405996,POINT (145.2765828 -37.878015)
16405955,POINT (-35.941196 145.5906085)
16404954,POINT (-37.8811379 144.673502)
16404357,POINT (-37.9296725 145.1252976)
16403833,POINT (-37.8947596 145.1622932)
16402906,POINT (-38.1057544 145.2770163)
16401480,POINT (-35.0716347 142.3128298)
16401015,POINT (144.9194199 -37.7965416)
16400998,POINT (145.3294481 -37.9027029)
16398931,POINT (145.1673371 -37.8427221)
