property_id,longitude,latitude,coordinates
16983992,144.892237,-37.739154,POINT (-37.739154 144.892237)
11841766,144.981587,-37.797213,POINT (-37.797213 144.981587)
16326789,144.980132,-37.795476,POINT (-37.795476 144.980132)
16499012,144.981565,-37.796877,POINT (-37.796877 144.981565)
16816341,144.981753,-37.798308,POINT (-37.798308 144.981753)
16854137,144.983948,-37.796368,POINT (-37.796368 144.983948)
16865890,144.980421,-37.797088,POINT (-37.797088 144.980421)
16871779,144.976546,-37.803905,POINT (-37.803905 144.976546)
16872106,144.980132,-37.795476,POINT (-37.795476 144.980132)
16874935,144.983528,-37.802015,POINT (-37.802015 144.983528)
16875418,144.979758,-37.797662,POINT (-37.797662 144.979758)
16875519,144.976986,-37.800668,POINT (-37.800668 144.976986)
16877672,144.982558,-37.798082,POINT (-37.798082 144.982558)
16879275,144.980373,-37.800753,POINT (-37.800753 144.980373)
16882974,144.983632,-37.796705,POINT (-37.796705 144.983632)
16884796,144.975262,-37.802261,POINT (-37.802261 144.975262)
16885123,144.983948,-37.796368,POINT (-37.796368 144.983948)
16885477,144.98279,-37.797178,POINT (-37.797178 144.98279)
16886721,144.982621,-37.794388,POINT (-37.794388 144.982621)
16887956,144.983159,-37.802124,POINT (-37.802124 144.983159)
16888691,144.980157,-37.800612,POINT (-37.800612 144.980157)
16053733,145.134978,-38.162106,POINT (-38.162106 145.134978)
16722783,145.170093,-38.147576,POINT (-38.147576 145.170093)
16884145,145.150578,-38.144349,POINT (-38.144349 145.150578)
16884354,145.142353,-38.150083,POINT (-38.150083 145.142353)
16885441,145.113771,-38.151187,POINT (-38.151187 145.113771)
16885450,145.138287,-38.142306,POINT (-38.142306 145.138287)
16889447,145.123302,-38.137577,POINT (-38.137577 145.123302)
16889597,145.134852,-38.14249,POINT (-38.14249 145.134852)
16889660,145.124221,-38.15923,POINT (-38.15923 145.124221)
16893722,145.146311,-38.148005,POINT (-38.148005 145.146311)
16894740,145.124772,-38.133646,POINT (-38.133646 145.124772)
16897014,145.125372,-38.152571,POINT (-38.152571 145.125372)
16897766,145.134566,-38.136044,POINT (-38.136044 145.134566)
16898451,145.148888,-38.136382,POINT (-38.136382 145.148888)
16900072,145.131631,-38.140278,POINT (-38.140278 145.131631)
16900101,145.125177,-38.142194,POINT (-38.142194 145.125177)
16900113,145.138914,-38.143543,POINT (-38.143543 145.138914)
16900266,145.122109,-38.152156,POINT (-38.152156 145.122109)
16900712,145.138214,-38.15426,POINT (-38.15426 145.138214)
15145360,145.044767,-37.890219,POINT (-37.890219 145.044767)
15306491,145.054323,-37.884854,POINT (-37.884854 145.054323)
15513993,145.044372,-37.891817,POINT (-37.891817 145.044372)
15702075,145.041903,-37.874605,POINT (-37.874605 145.041903)
16084811,145.041909,-37.88786,POINT (-37.88786 145.041909)
16297207,145.042945,-37.892204,POINT (-37.892204 145.042945)
16875744,145.04292,-37.889678,POINT (-37.889678 145.04292)
16892957,145.04422,-37.890661,POINT (-37.890661 145.04422)
16894468,145.032633,-37.925335,POINT (-37.925335 145.032633)
16894714,145.039255,-37.924061,POINT (-37.924061 145.039255)
16894763,145.063578,-37.872968,POINT (-37.872968 145.063578)
16895001,145.060655,-37.889472,POINT (-37.889472 145.060655)
16895033,145.077252,-37.884579,POINT (-37.884579 145.077252)
16895414,145.024353,-37.887411,POINT (-37.887411 145.024353)
16895681,145.041686,-37.887775,POINT (-37.887775 145.041686)
16895871,145.063385,-37.890077,POINT (-37.890077 145.063385)
16896005,145.08816,-37.891951,POINT (-37.891951 145.08816)
16897100,145.061833,-37.899378,POINT (-37.899378 145.061833)
16897179,145.059316,-37.884515,POINT (-37.884515 145.059316)
15051875,145.17829,-37.867612,POINT (-37.867612 145.17829)
16100827,145.149872,-37.90087,POINT (-37.90087 145.149872)
16932678,145.165853,-37.877899,POINT (-37.877899 145.165853)
16956586,145.167455,-37.887382,POINT (-37.887382 145.167455)
16972788,145.15524,-37.880556,POINT (-37.880556 145.15524)
16976299,145.160817,-37.88578,POINT (-37.88578 145.160817)
16976355,145.162247,-37.884746,POINT (-37.884746 145.162247)
16977172,145.168192,-37.867914,POINT (-37.867914 145.168192)
16978043,145.171931,-37.881946,POINT (-37.881946 145.171931)
16978480,145.175075,-37.864653,POINT (-37.864653 145.175075)
16978933,145.163223,-37.871065,POINT (-37.871065 145.163223)
16979278,145.174566,-37.884103,POINT (-37.884103 145.174566)
16979694,145.185823,-37.886053,POINT (-37.886053 145.185823)
16980069,145.174334,-37.864445,POINT (-37.864445 145.174334)
16980518,145.166597,-37.890177,POINT (-37.890177 145.166597)
16980812,145.174042,-37.868085,POINT (-37.868085 145.174042)
16980817,145.151132,-37.869219,POINT (-37.869219 145.151132)
16980853,145.188465,-37.876746,POINT (-37.876746 145.188465)
16981360,145.172677,-37.878761,POINT (-37.878761 145.172677)
16982269,145.153359,-37.898263,POINT (-37.898263 145.153359)
16409842,145.032986,-37.816685,POINT (-37.816685 145.032986)
16946131,145.029594,-37.828037,POINT (-37.828037 145.029594)
16959395,145.028275,-37.821209,POINT (-37.821209 145.028275)
16960079,145.034043,-37.830779,POINT (-37.830779 145.034043)
16960989,145.02925,-37.828012,POINT (-37.828012 145.02925)
16962246,145.034263,-37.829602,POINT (-37.829602 145.034263)
16964767,145.040858,-37.827034,POINT (-37.827034 145.040858)
16966758,145.036833,-37.82969,POINT (-37.82969 145.036833)
16967096,145.042386,-37.835716,POINT (-37.835716 145.042386)
16970114,145.034043,-37.830779,POINT (-37.830779 145.034043)
16970425,145.017043,-37.818571,POINT (-37.818571 145.017043)
16970647,145.017542,-37.820707,POINT (-37.820707 145.017542)
16971158,145.031704,-37.822814,POINT (-37.822814 145.031704)
16972016,145.0423,-37.818319,POINT (-37.818319 145.0423)
16974341,145.041134,-37.817417,POINT (-37.817417 145.041134)
15390648,145.04281,-37.765211,POINT (-37.765211 145.04281)
16029869,145.067511,-37.752974,POINT (-37.752974 145.067511)
16858501,145.089281,-37.759471,POINT (-37.759471 145.089281)
16879422,145.050189,-37.761482,POINT (-37.761482 145.050189)
16885262,145.061194,-37.753434,POINT (-37.753434 145.061194)
16888334,145.092326,-37.772812,POINT (-37.772812 145.092326)
16889378,145.043121,-37.750032,POINT (-37.750032 145.043121)
16890424,145.043121,-37.750032,POINT (-37.750032 145.043121)
16890849,145.043121,-37.750032,POINT (-37.750032 145.043121)
16893854,145.069932,-37.753717,POINT (-37.753717 145.069932)
16896178,145.06361,-37.757585,POINT (-37.757585 145.06361)
16896223,145.066081,-37.755118,POINT (-37.755118 145.066081)
16896270,145.061026,-37.757905,POINT (-37.757905 145.061026)
16897097,145.041011,-37.767162,POINT (-37.767162 145.041011)
16897134,145.034868,-37.758252,POINT (-37.758252 145.034868)
16898239,145.059368,-37.737263,POINT (-37.737263 145.059368)
16899297,145.066371,-37.750346,POINT (-37.750346 145.066371)
16900003,145.064507,-37.748079,POINT (-37.748079 145.064507)
16900211,145.059276,-37.753496,POINT (-37.753496 145.059276)
16306456,145.077672,-37.894511,POINT (-37.894511 145.077672)
16414376,145.079482,-37.891253,POINT (-37.891253 145.079482)
16673050,145.080699,-37.888603,POINT (-37.888603 145.080699)
16743265,145.080987,-37.90399,POINT (-37.90399 145.080987)
16815557,145.077081,-37.894249,POINT (-37.894249 145.077081)
16816124,145.077662,-37.892201,POINT (-37.892201 145.077662)
16854500,145.082406,-37.899833,POINT (-37.899833 145.082406)
16862274,145.082633,-37.89865,POINT (-37.89865 145.082633)
16872404,145.083345,-37.905255,POINT (-37.905255 145.083345)
16876433,145.082662,-37.906161,POINT (-37.906161 145.082662)
16876484,145.079482,-37.891253,POINT (-37.891253 145.079482)
16881257,145.081712,-37.891147,POINT (-37.891147 145.081712)
16882183,145.082132,-37.892856,POINT (-37.892856 145.082132)
16882932,145.082633,-37.89865,POINT (-37.89865 145.082633)
16887326,145.085374,-37.900847,POINT (-37.900847 145.085374)
16888295,145.094489,-37.899218,POINT (-37.899218 145.094489)
16888734,145.059316,-37.884515,POINT (-37.884515 145.059316)
16889730,145.06868,-37.892417,POINT (-37.892417 145.06868)
16889796,145.040769,-37.874853,POINT (-37.874853 145.040769)
16890276,145.095016,-37.899296,POINT (-37.899296 145.095016)
9446160,146.87996,-36.116011,POINT (-36.116011 146.87996)
16270873,146.907367,-36.128712,POINT (-36.128712 146.907367)
16875884,146.882109,-36.123894,POINT (-36.123894 146.882109)
16881864,146.89372,-36.127609,POINT (-36.127609 146.89372)
16888882,146.901402,-36.140503,POINT (-36.140503 146.901402)
16890525,146.89372,-36.127609,POINT (-36.127609 146.89372)
16890600,146.89372,-36.127609,POINT (-36.127609 146.89372)
16890654,146.89372,-36.127609,POINT (-36.127609 146.89372)
16893604,146.870501,-36.119851,POINT (-36.119851 146.870501)
16894934,145.5,-37.75,POINT (-37.75 145.5)
16898711,146.89372,-36.127609,POINT (-36.127609 146.89372)
16898959,146.89372,-36.127609,POINT (-36.127609 146.89372)
16900392,146.912664,-36.124118,POINT (-36.124118 146.912664)
16900488,146.851067,-36.125888,POINT (-36.125888 146.851067)
16901912,146.700108,-36.354804,POINT (-36.354804 146.700108)
16902763,146.89372,-36.127609,POINT (-36.127609 146.89372)
16902805,146.906234,-36.133232,POINT (-36.133232 146.906234)
14434769,145.050189,-37.761482,POINT (-37.761482 145.050189)
14625991,145.050189,-37.761482,POINT (-37.761482 145.050189)
16942397,145.04281,-37.765211,POINT (-37.765211 145.04281)
16954169,145.04713,-37.7705,POINT (-37.7705 145.04713)
16955419,145.048159,-37.7705,POINT (-37.7705 145.048159)
16955882,145.04281,-37.765211,POINT (-37.765211 145.04281)
16955909,145.04281,-37.765211,POINT (-37.765211 145.04281)
16955923,145.04281,-37.765211,POINT (-37.765211 145.04281)
16955939,145.04281,-37.765211,POINT (-37.765211 145.04281)
