Statistic,Value,Suburb
Median rent ($/weekly)(a),350.0,Aireys Inlet
Average number of persons per bedroom,0.7,Aireys Inlet
Average household size,2.1,Aireys Inlet
Median age of persons,54.0,Boxwood
Median total personal income ($/weekly),350.0,Boxwood
Median total family income ($/weekly),1499.0,Boxwood
Median total household income ($/weekly),949.0,Boxwood
Median mortgage repayment ($/monthly),0.0,Boxwood
Median rent ($/weekly)(a),0.0,Boxwood
Average number of persons per bedroom,0.8,Boxwood
Average household size,2.5,Boxwood
Median age of persons,45.0,Brewster
Median total personal income ($/weekly),949.0,Brewster
Median total family income ($/weekly),2249.0,Brewster
Median total household income ($/weekly),2124.0,Brewster
Median mortgage repayment ($/monthly),990.0,Brewster
Median rent ($/weekly)(a),250.0,Brewster
Average number of persons per bedroom,0.7,Brewster
Average household size,2.6,Brewster
Median age of persons,56.0,Ballendella
Median total personal income ($/weekly),620.0,Ballendella
Median total family income ($/weekly),1208.0,Ballendella
Median total household income ($/weekly),1166.0,Ballendella
Median mortgage repayment ($/monthly),1242.0,Ballendella
Median rent ($/weekly)(a),120.0,Ballendella
Average number of persons per bedroom,0.8,Ballendella
Average household size,2.5,Ballendella
Median age of persons,57.0,Dargo
Median total personal income ($/weekly),412.0,Dargo
Median total family income ($/weekly),1041.0,Dargo
Median total household income ($/weekly),725.0,Dargo
Median mortgage repayment ($/monthly),900.0,Dargo
Median rent ($/weekly)(a),160.0,Dargo
Average number of persons per bedroom,0.7,Dargo
Average household size,2.1,Dargo
Median age of persons,44.0,Castella
Median total personal income ($/weekly),895.0,Castella
Median total family income ($/weekly),2291.0,Castella
Median total household income ($/weekly),1978.0,Castella
Median mortgage repayment ($/monthly),1817.0,Castella
Median rent ($/weekly)(a),420.0,Castella
Average number of persons per bedroom,0.8,Castella
Average household size,2.6,Castella
Median age of persons,52.0,Myamyn
Median total personal income ($/weekly),575.0,Myamyn
Median total family income ($/weekly),1374.0,Myamyn
Median total household income ($/weekly),1062.0,Myamyn
Median mortgage repayment ($/monthly),1517.0,Myamyn
Median rent ($/weekly)(a),0.0,Myamyn
Average number of persons per bedroom,0.7,Myamyn
Average household size,2.4,Myamyn
Median age of persons,43.0,Nalangil
Median total personal income ($/weekly),680.0,Nalangil
Median total family income ($/weekly),1916.0,Nalangil
Median total household income ($/weekly),1708.0,Nalangil
Median mortgage repayment ($/monthly),2000.0,Nalangil
Median rent ($/weekly)(a),180.0,Nalangil
Average number of persons per bedroom,0.9,Nalangil
Average household size,2.9,Nalangil
Median age of persons,39.0,Wodonga
Median total personal income ($/weekly),758.0,Wodonga
Median total family income ($/weekly),1786.0,Wodonga
Median total household income ($/weekly),1364.0,Wodonga
Median mortgage repayment ($/monthly),1387.0,Wodonga
Median rent ($/weekly)(a),280.0,Wodonga
Average number of persons per bedroom,0.7,Wodonga
Average household size,2.3,Wodonga
Median age of persons,58.0,Avonmore
Median total personal income ($/weekly),687.0,Avonmore
Median total family income ($/weekly),1875.0,Avonmore
Median total household income ($/weekly),1749.0,Avonmore
Median mortgage repayment ($/monthly),776.0,Avonmore
Median rent ($/weekly)(a),295.0,Avonmore
Average number of persons per bedroom,0.7,Avonmore
Average household size,2.4,Avonmore
Median age of persons,46.0,Boonah (Vic.)
Median total personal income ($/weekly),668.0,Boonah (Vic.)
Median total family income ($/weekly),1374.0,Boonah (Vic.)
Median total household income ($/weekly),1125.0,Boonah (Vic.)
Median mortgage repayment ($/monthly),1850.0,Boonah (Vic.)
Median rent ($/weekly)(a),350.0,Boonah (Vic.)
Average number of persons per bedroom,0.9,Boonah (Vic.)
Average household size,2.3,Boonah (Vic.)
Median age of persons,33.0,Carlton North
Median total personal income ($/weekly),1208.0,Carlton North
Median total family income ($/weekly),3123.0,Carlton North
Median total household income ($/weekly),2400.0,Carlton North
Median mortgage repayment ($/monthly),2500.0,Carlton North
Median rent ($/weekly)(a),552.0,Carlton North
Average number of persons per bedroom,0.9,Carlton North
Average household size,2.3,Carlton North
Median age of persons,37.0,Curdies River
Median total personal income ($/weekly),875.0,Curdies River
Median total family income ($/weekly),1125.0,Curdies River
Median total household income ($/weekly),1187.0,Curdies River
Median mortgage repayment ($/monthly),2134.0,Curdies River
Median rent ($/weekly)(a),75.0,Curdies River
Average number of persons per bedroom,1.0,Curdies River
Average household size,2.6,Curdies River
Median age of persons,38.0,Newport (Vic.)
Median total personal income ($/weekly),1241.0,Newport (Vic.)
Median total family income ($/weekly),3268.0,Newport (Vic.)
Median total household income ($/weekly),2657.0,Newport (Vic.)
Median mortgage repayment ($/monthly),2507.0,Newport (Vic.)
Median rent ($/weekly)(a),471.0,Newport (Vic.)
Average number of persons per bedroom,0.9,Newport (Vic.)
Average household size,2.6,Newport (Vic.)
Median age of persons,52.0,Cape Clear
Median total personal income ($/weekly),585.0,Cape Clear
Median total family income ($/weekly),1600.0,Cape Clear
Median total household income ($/weekly),1208.0,Cape Clear
Median mortgage repayment ($/monthly),1100.0,Cape Clear
Median rent ($/weekly)(a),180.0,Cape Clear
Average number of persons per bedroom,0.8,Cape Clear
Average household size,2.2,Cape Clear
Median age of persons,27.0,Creswick North
Median total personal income ($/weekly),1024.0,Creswick North
Median total family income ($/weekly),2249.0,Creswick North
Median total household income ($/weekly),2125.0,Creswick North
Median mortgage repayment ($/monthly),1534.0,Creswick North
Median rent ($/weekly)(a),300.0,Creswick North
Average number of persons per bedroom,0.9,Creswick North
Average household size,3.2,Creswick North
Median age of persons,48.0,Ashbourne (Vic.)
Median total personal income ($/weekly),1132.0,Ashbourne (Vic.)
Median total family income ($/weekly),2905.0,Ashbourne (Vic.)
Median total household income ($/weekly),2474.0,Ashbourne (Vic.)
Median mortgage repayment ($/monthly),2800.0,Ashbourne (Vic.)
Median rent ($/weekly)(a),357.0,Ashbourne (Vic.)
Average number of persons per bedroom,0.7,Ashbourne (Vic.)
Average household size,2.7,Ashbourne (Vic.)
Median age of persons,41.0,Antwerp
Median total personal income ($/weekly),599.0,Antwerp
Median total family income ($/weekly),1625.0,Antwerp
Median total household income ($/weekly),1125.0,Antwerp
Median mortgage repayment ($/monthly),1084.0,Antwerp
Median rent ($/weekly)(a),0.0,Antwerp
Average number of persons per bedroom,0.8,Antwerp
Average household size,2.4,Antwerp
Median age of persons,44.0,Bolwarrah
Median total personal income ($/weekly),466.0,Bolwarrah
Median total family income ($/weekly),1874.0,Bolwarrah
Median total household income ($/weekly),1499.0,Bolwarrah
Median mortgage repayment ($/monthly),1029.0,Bolwarrah
Median rent ($/weekly)(a),250.0,Bolwarrah
Average number of persons per bedroom,0.8,Bolwarrah
Average household size,2.6,Bolwarrah
Median age of persons,42.0,Bayles
Median total personal income ($/weekly),752.0,Bayles
Median total family income ($/weekly),2016.0,Bayles
Median total household income ($/weekly),1897.0,Bayles
Median mortgage repayment ($/monthly),2167.0,Bayles
Median rent ($/weekly)(a),425.0,Bayles
Average number of persons per bedroom,0.8,Bayles
Average household size,2.9,Bayles
Median age of persons,31.0,Clover Flat
Median total personal income ($/weekly),949.0,Clover Flat
Median total family income ($/weekly),2999.0,Clover Flat
Median total household income ($/weekly),1749.0,Clover Flat
Median mortgage repayment ($/monthly),900.0,Clover Flat
Median rent ($/weekly)(a),0.0,Clover Flat
Average number of persons per bedroom,0.8,Clover Flat
Average household size,2.3,Clover Flat
Median age of persons,45.0,Donvale
Median total personal income ($/weekly),769.0,Donvale
Median total family income ($/weekly),2508.0,Donvale
Median total household income ($/weekly),2100.0,Donvale
Median mortgage repayment ($/monthly),2500.0,Donvale
Median rent ($/weekly)(a),450.0,Donvale
Average number of persons per bedroom,0.8,Donvale
Average household size,2.7,Donvale
Median age of persons,57.0,Childers (Vic.)
Median total personal income ($/weekly),628.0,Childers (Vic.)
Median total family income ($/weekly),1624.0,Childers (Vic.)
Median total household income ($/weekly),1062.0,Childers (Vic.)
Median mortgage repayment ($/monthly),1967.0,Childers (Vic.)
Median rent ($/weekly)(a),130.0,Childers (Vic.)
Average number of persons per bedroom,0.7,Childers (Vic.)
Average household size,2.1,Childers (Vic.)
Median age of persons,51.0,Cobden
Median total personal income ($/weekly),631.0,Cobden
Median total family income ($/weekly),1517.0,Cobden
Median total household income ($/weekly),1162.0,Cobden
Median mortgage repayment ($/monthly),1083.0,Cobden
Median rent ($/weekly)(a),220.0,Cobden
Average number of persons per bedroom,0.7,Cobden
Average household size,2.3,Cobden
Median age of persons,60.0,Murchison East
Median total personal income ($/weekly),531.0,Murchison East
Median total family income ($/weekly),1583.0,Murchison East
Median total household income ($/weekly),900.0,Murchison East
Median mortgage repayment ($/monthly),1083.0,Murchison East
Median rent ($/weekly)(a),150.0,Murchison East
Average number of persons per bedroom,0.8,Murchison East
Average household size,1.7,Murchison East
Median age of persons,50.0,Drouin South
Median total personal income ($/weekly),778.0,Drouin South
Median total family income ($/weekly),2178.0,Drouin South
Median total household income ($/weekly),1833.0,Drouin South
Median mortgage repayment ($/monthly),2000.0,Drouin South
Median rent ($/weekly)(a),313.0,Drouin South
Average number of persons per bedroom,0.7,Drouin South
Average household size,2.5,Drouin South
Median age of persons,57.0,Bellellen
Median total personal income ($/weekly),671.0,Bellellen
Median total family income ($/weekly),2249.0,Bellellen
Median total household income ($/weekly),1875.0,Bellellen
Median mortgage repayment ($/monthly),1280.0,Bellellen
Median rent ($/weekly)(a),0.0,Bellellen
Average number of persons per bedroom,0.8,Bellellen
Average household size,2.5,Bellellen
Median age of persons,37.0,Bundalaguah
Median total personal income ($/weekly),681.0,Bundalaguah
Median total family income ($/weekly),2036.0,Bundalaguah
Median total household income ($/weekly),1792.0,Bundalaguah
Median mortgage repayment ($/monthly),1675.0,Bundalaguah
Median rent ($/weekly)(a),233.0,Bundalaguah
Average number of persons per bedroom,0.9,Bundalaguah
Average household size,3.0,Bundalaguah
Median age of persons,58.0,Woodside Beach
Median total personal income ($/weekly),471.0,Woodside Beach
Median total family income ($/weekly),1275.0,Woodside Beach
Median total household income ($/weekly),1083.0,Woodside Beach
Median mortgage repayment ($/monthly),1517.0,Woodside Beach
Median rent ($/weekly)(a),236.0,Woodside Beach
Average number of persons per bedroom,0.6,Woodside Beach
Average household size,2.1,Woodside Beach
Median age of persons,38.0,Smythes Creek
Median total personal income ($/weekly),817.0,Smythes Creek
Median total family income ($/weekly),2192.0,Smythes Creek
Median total household income ($/weekly),2132.0,Smythes Creek
Median mortgage repayment ($/monthly),1647.0,Smythes Creek
Median rent ($/weekly)(a),395.0,Smythes Creek
Average number of persons per bedroom,0.8,Smythes Creek
Average household size,3.1,Smythes Creek
Median age of persons,55.0,Inglewood (Vic.)
Median total personal income ($/weekly),483.0,Inglewood (Vic.)
Median total family income ($/weekly),1174.0,Inglewood (Vic.)
Median total household income ($/weekly),844.0,Inglewood (Vic.)
Median mortgage repayment ($/monthly),867.0,Inglewood (Vic.)
Median rent ($/weekly)(a),200.0,Inglewood (Vic.)
Average number of persons per bedroom,0.7,Inglewood (Vic.)
Average household size,2.1,Inglewood (Vic.)
Median age of persons,31.0,Wail
Median total personal income ($/weekly),724.0,Wail
Median total family income ($/weekly),1875.0,Wail
Median total household income ($/weekly),1312.0,Wail
Median mortgage repayment ($/monthly),1290.0,Wail
Median rent ($/weekly)(a),200.0,Wail
Average number of persons per bedroom,0.8,Wail
Average household size,2.4,Wail
Median age of persons,52.0,Wangandary
Median total personal income ($/weekly),793.0,Wangandary
Median total family income ($/weekly),1974.0,Wangandary
Median total household income ($/weekly),1792.0,Wangandary
Median mortgage repayment ($/monthly),1855.0,Wangandary
Median rent ($/weekly)(a),375.0,Wangandary
Average number of persons per bedroom,0.7,Wangandary
Average household size,2.5,Wangandary
Median age of persons,42.0,Glenlee (Vic.)
Median total personal income ($/weekly),1208.0,Glenlee (Vic.)
Median total family income ($/weekly),3374.0,Glenlee (Vic.)
Median total household income ($/weekly),2250.0,Glenlee (Vic.)
Median mortgage repayment ($/monthly),2687.0,Glenlee (Vic.)
Median rent ($/weekly)(a),185.0,Glenlee (Vic.)
Average number of persons per bedroom,0.8,Glenlee (Vic.)
Average household size,2.7,Glenlee (Vic.)
Median age of persons,60.0,Tanwood
Median total personal income ($/weekly),450.0,Tanwood
Median total family income ($/weekly),1812.0,Tanwood
Median total household income ($/weekly),1375.0,Tanwood
Median mortgage repayment ($/monthly),1138.0,Tanwood
Median rent ($/weekly)(a),300.0,Tanwood
Average number of persons per bedroom,0.6,Tanwood
Average household size,1.9,Tanwood
Median age of persons,42.0,Sawmill Settlement
Median total personal income ($/weekly),850.0,Sawmill Settlement
Median total family income ($/weekly),1468.0,Sawmill Settlement
Median total household income ($/weekly),1424.0,Sawmill Settlement
Median mortgage repayment ($/monthly),1129.0,Sawmill Settlement
Median rent ($/weekly)(a),289.0,Sawmill Settlement
Average number of persons per bedroom,0.7,Sawmill Settlement
Average household size,2.2,Sawmill Settlement
Median age of persons,49.0,Gillieston
Median total personal income ($/weekly),674.0,Gillieston
Median total family income ($/weekly),1375.0,Gillieston
Median total household income ($/weekly),1166.0,Gillieston
Median mortgage repayment ($/monthly),1430.0,Gillieston
Median rent ($/weekly)(a),210.0,Gillieston
Average number of persons per bedroom,0.6,Gillieston
Average household size,2.3,Gillieston
Median age of persons,42.0,Meeniyan
Median total personal income ($/weekly),721.0,Meeniyan
Median total family income ($/weekly),1723.0,Meeniyan
Median total household income ($/weekly),1326.0,Meeniyan
Median mortgage repayment ($/monthly),1387.0,Meeniyan
Median rent ($/weekly)(a),250.0,Meeniyan
Average number of persons per bedroom,0.8,Meeniyan
Average household size,2.4,Meeniyan
Median age of persons,52.0,Marnoo
Median total personal income ($/weekly),550.0,Marnoo
Median total family income ($/weekly),1156.0,Marnoo
Median total household income ($/weekly),900.0,Marnoo
Median mortgage repayment ($/monthly),322.0,Marnoo
Median rent ($/weekly)(a),130.0,Marnoo
Average number of persons per bedroom,0.6,Marnoo
Average household size,2.1,Marnoo
Median age of persons,50.0,Pastoria
Median total personal income ($/weekly),1292.0,Pastoria
Median total family income ($/weekly),3750.0,Pastoria
Median total household income ($/weekly),1875.0,Pastoria
Median mortgage repayment ($/monthly),4000.0,Pastoria
Median rent ($/weekly)(a),346.0,Pastoria
Average number of persons per bedroom,0.7,Pastoria
Average household size,2.1,Pastoria
Median age of persons,47.0,Lake Fyans
Median total personal income ($/weekly),1024.0,Lake Fyans
Median total family income ($/weekly),1625.0,Lake Fyans
Median total household income ($/weekly),1625.0,Lake Fyans
Median mortgage repayment ($/monthly),2042.0,Lake Fyans
Median rent ($/weekly)(a),300.0,Lake Fyans
Average number of persons per bedroom,0.9,Lake Fyans
Average household size,2.9,Lake Fyans
Median age of persons,54.0,Staceys Bridge
Median total personal income ($/weekly),575.0,Staceys Bridge
Median total family income ($/weekly),1562.0,Staceys Bridge
Median total household income ($/weekly),924.0,Staceys Bridge
Median mortgage repayment ($/monthly),1517.0,Staceys Bridge
Median rent ($/weekly)(a),160.0,Staceys Bridge
Average number of persons per bedroom,0.6,Staceys Bridge
Average household size,2.0,Staceys Bridge
Median age of persons,38.0,Eureka (Vic.)
Median total personal income ($/weekly),674.0,Eureka (Vic.)
Median total family income ($/weekly),1568.0,Eureka (Vic.)
Median total household income ($/weekly),1168.0,Eureka (Vic.)
Median mortgage repayment ($/monthly),1096.0,Eureka (Vic.)
Median rent ($/weekly)(a),270.0,Eureka (Vic.)
Average number of persons per bedroom,0.8,Eureka (Vic.)
Average household size,2.2,Eureka (Vic.)
Median age of persons,46.0,Rawson
Median total personal income ($/weekly),522.0,Rawson
Median total family income ($/weekly),1270.0,Rawson
Median total household income ($/weekly),840.0,Rawson
Median mortgage repayment ($/monthly),867.0,Rawson
Median rent ($/weekly)(a),210.0,Rawson
Average number of persons per bedroom,0.7,Rawson
Average household size,2.1,Rawson
Median age of persons,44.0,Long Forest
Median total personal income ($/weekly),795.0,Long Forest
Median total family income ($/weekly),2345.0,Long Forest
Median total household income ($/weekly),2437.0,Long Forest
Median mortgage repayment ($/monthly),1733.0,Long Forest
Median rent ($/weekly)(a),520.0,Long Forest
Average number of persons per bedroom,0.8,Long Forest
Average household size,3.1,Long Forest
Median age of persons,38.0,Strathmerton
Median total personal income ($/weekly),662.0,Strathmerton
Median total family income ($/weekly),1666.0,Strathmerton
Median total household income ($/weekly),1404.0,Strathmerton
Median mortgage repayment ($/monthly),1127.0,Strathmerton
Median rent ($/weekly)(a),210.0,Strathmerton
Average number of persons per bedroom,0.8,Strathmerton
Average household size,2.7,Strathmerton
Median age of persons,41.0,Kew (Vic.)
Median total personal income ($/weekly),1120.0,Kew (Vic.)
Median total family income ($/weekly),3301.0,Kew (Vic.)
Median total household income ($/weekly),2497.0,Kew (Vic.)
Median mortgage repayment ($/monthly),3000.0,Kew (Vic.)
Median rent ($/weekly)(a),476.0,Kew (Vic.)
Average number of persons per bedroom,0.8,Kew (Vic.)
Average household size,2.5,Kew (Vic.)
Median age of persons,47.0,Wellsford
Median total personal income ($/weekly),691.0,Wellsford
Median total family income ($/weekly),1749.0,Wellsford
Median total household income ($/weekly),1421.0,Wellsford
Median mortgage repayment ($/monthly),1733.0,Wellsford
Median rent ($/weekly)(a),200.0,Wellsford
Average number of persons per bedroom,0.8,Wellsford
Average household size,2.6,Wellsford
Median age of persons,47.0,Happy Valley (Golden Plains - Vic.)
Median total personal income ($/weekly),584.0,Happy Valley (Golden Plains - Vic.)
Median total family income ($/weekly),1624.0,Happy Valley (Golden Plains - Vic.)
Median total household income ($/weekly),1187.0,Happy Valley (Golden Plains - Vic.)
Median mortgage repayment ($/monthly),821.0,Happy Valley (Golden Plains - Vic.)
Median rent ($/weekly)(a),150.0,Happy Valley (Golden Plains - Vic.)
Average number of persons per bedroom,0.9,Happy Valley (Golden Plains - Vic.)
Average household size,2.4,Happy Valley (Golden Plains - Vic.)
Median age of persons,48.0,Katandra
Median total personal income ($/weekly),624.0,Katandra
Median total family income ($/weekly),1312.0,Katandra
Median total household income ($/weekly),1125.0,Katandra
Median mortgage repayment ($/monthly),1223.0,Katandra
Median rent ($/weekly)(a),170.0,Katandra
Average number of persons per bedroom,0.7,Katandra
Average household size,2.6,Katandra
Median age of persons,39.0,Wilsons Hill
Median total personal income ($/weekly),708.0,Wilsons Hill
Median total family income ($/weekly),1812.0,Wilsons Hill
Median total household income ($/weekly),1624.0,Wilsons Hill
Median mortgage repayment ($/monthly),1083.0,Wilsons Hill
Median rent ($/weekly)(a),175.0,Wilsons Hill
Average number of persons per bedroom,0.7,Wilsons Hill
Average household size,2.7,Wilsons Hill
Median age of persons,43.0,Eppalock
Median total personal income ($/weekly),747.0,Eppalock
Median total family income ($/weekly),1913.0,Eppalock
Median total household income ($/weekly),1883.0,Eppalock
Median mortgage repayment ($/monthly),1624.0,Eppalock
Median rent ($/weekly)(a),320.0,Eppalock
Average number of persons per bedroom,0.8,Eppalock
Average household size,2.8,Eppalock
Median age of persons,49.0,Eganstown
Median total personal income ($/weekly),586.0,Eganstown
Median total family income ($/weekly),1542.0,Eganstown
Median total household income ($/weekly),1267.0,Eganstown
Median mortgage repayment ($/monthly),1777.0,Eganstown
Median rent ($/weekly)(a),200.0,Eganstown
Average number of persons per bedroom,0.8,Eganstown
Average household size,2.2,Eganstown
Median age of persons,51.0,Corndale (Vic.)
Median total personal income ($/weekly),762.0,Corndale (Vic.)
Median total family income ($/weekly),1874.0,Corndale (Vic.)
Median total household income ($/weekly),1625.0,Corndale (Vic.)
Median mortgage repayment ($/monthly),605.0,Corndale (Vic.)
Median rent ($/weekly)(a),0.0,Corndale (Vic.)
Average number of persons per bedroom,0.8,Corndale (Vic.)
Average household size,2.6,Corndale (Vic.)
Median age of persons,50.0,Anderson
Median total personal income ($/weekly),710.0,Anderson
Median total family income ($/weekly),1437.0,Anderson
Median total household income ($/weekly),1375.0,Anderson
Median mortgage repayment ($/monthly),1733.0,Anderson
Median rent ($/weekly)(a),260.0,Anderson
Average number of persons per bedroom,0.6,Anderson
Average household size,2.4,Anderson
Median age of persons,26.0,Bonegilla
Median total personal income ($/weekly),988.0,Bonegilla
Median total family income ($/weekly),2270.0,Bonegilla
Median total household income ($/weekly),2104.0,Bonegilla
Median mortgage repayment ($/monthly),1571.0,Bonegilla
Median rent ($/weekly)(a),225.0,Bonegilla
Average number of persons per bedroom,0.8,Bonegilla
Average household size,2.7,Bonegilla
Median age of persons,43.0,Birregurra
Median total personal income ($/weekly),782.0,Birregurra
Median total family income ($/weekly),1914.0,Birregurra
Median total household income ($/weekly),1521.0,Birregurra
Median mortgage repayment ($/monthly),1517.0,Birregurra
Median rent ($/weekly)(a),300.0,Birregurra
Average number of persons per bedroom,0.8,Birregurra
Average household size,2.4,Birregurra
Median age of persons,61.0,Dadswells Bridge
Median total personal income ($/weekly),664.0,Dadswells Bridge
Median total family income ($/weekly),1375.0,Dadswells Bridge
Median total household income ($/weekly),1093.0,Dadswells Bridge
Median mortgage repayment ($/monthly),505.0,Dadswells Bridge
Median rent ($/weekly)(a),196.0,Dadswells Bridge
Average number of persons per bedroom,0.6,Dadswells Bridge
Average household size,2.0,Dadswells Bridge
Median age of persons,40.0,Newtown (Greater Geelong - Vic.)
Median total personal income ($/weekly),1001.0,Newtown (Greater Geelong - Vic.)
Median total family income ($/weekly),2861.0,Newtown (Greater Geelong - Vic.)
Median total household income ($/weekly),2092.0,Newtown (Greater Geelong - Vic.)
Median mortgage repayment ($/monthly),2167.0,Newtown (Greater Geelong - Vic.)
Median rent ($/weekly)(a),360.0,Newtown (Greater Geelong - Vic.)
Average number of persons per bedroom,0.8,Newtown (Greater Geelong - Vic.)
Average household size,2.5,Newtown (Greater Geelong - Vic.)
Median age of persons,53.0,Neereman
Median total personal income ($/weekly),687.0,Neereman
Median total family income ($/weekly),2124.0,Neereman
Median total household income ($/weekly),2250.0,Neereman
Median mortgage repayment ($/monthly),2000.0,Neereman
Median rent ($/weekly)(a),200.0,Neereman
Average number of persons per bedroom,0.8,Neereman
Average household size,2.7,Neereman
Median age of persons,48.0,Mount Macedon
Median total personal income ($/weekly),1075.0,Mount Macedon
Median total family income ($/weekly),3021.0,Mount Macedon
Median total household income ($/weekly),2647.0,Mount Macedon
Median mortgage repayment ($/monthly),2604.0,Mount Macedon
Median rent ($/weekly)(a),330.0,Mount Macedon
Average number of persons per bedroom,0.7,Mount Macedon
Average household size,2.6,Mount Macedon
Median age of persons,56.0,Bunding
Median total personal income ($/weekly),668.0,Bunding
Median total family income ($/weekly),1375.0,Bunding
Median total household income ($/weekly),1166.0,Bunding
Median mortgage repayment ($/monthly),1354.0,Bunding
Median rent ($/weekly)(a),450.0,Bunding
Average number of persons per bedroom,0.8,Bunding
Average household size,2.6,Bunding
Median age of persons,63.0,Wulgulmerang
Median total personal income ($/weekly),850.0,Wulgulmerang
Median total family income ($/weekly),900.0,Wulgulmerang
Median total household income ($/weekly),900.0,Wulgulmerang
Median mortgage repayment ($/monthly),0.0,Wulgulmerang
Median rent ($/weekly)(a),0.0,Wulgulmerang
Average number of persons per bedroom,0.7,Wulgulmerang
Average household size,2.0,Wulgulmerang
Median age of persons,54.0,Barkstead
Median total personal income ($/weekly),703.0,Barkstead
Median total family income ($/weekly),1875.0,Barkstead
Median total household income ($/weekly),1749.0,Barkstead
Median mortgage repayment ($/monthly),1550.0,Barkstead
Median rent ($/weekly)(a),0.0,Barkstead
Average number of persons per bedroom,0.8,Barkstead
Average household size,2.3,Barkstead
Median age of persons,49.0,Yambuk
Median total personal income ($/weekly),668.0,Yambuk
Median total family income ($/weekly),1446.0,Yambuk
Median total household income ($/weekly),1215.0,Yambuk
Median mortgage repayment ($/monthly),1517.0,Yambuk
Median rent ($/weekly)(a),255.0,Yambuk
Average number of persons per bedroom,0.7,Yambuk
Average household size,2.3,Yambuk
Median age of persons,20.0,Dookie College
Median total personal income ($/weekly),381.0,Dookie College
Median total family income ($/weekly),3374.0,Dookie College
Median total household income ($/weekly),3374.0,Dookie College
Median mortgage repayment ($/monthly),0.0,Dookie College
Median rent ($/weekly)(a),185.0,Dookie College
Average number of persons per bedroom,1.1,Dookie College
Average household size,3.3,Dookie College
Median age of persons,42.0,Chesney Vale
Median total personal income ($/weekly),666.0,Chesney Vale
Median total family income ($/weekly),1724.0,Chesney Vale
Median total household income ($/weekly),1562.0,Chesney Vale
Median mortgage repayment ($/monthly),2002.0,Chesney Vale
Median rent ($/weekly)(a),200.0,Chesney Vale
Average number of persons per bedroom,0.9,Chesney Vale
Average household size,2.7,Chesney Vale
Median age of persons,54.0,Devenish
Median total personal income ($/weekly),487.0,Devenish
Median total family income ($/weekly),1406.0,Devenish
Median total household income ($/weekly),974.0,Devenish
Median mortgage repayment ($/monthly),820.0,Devenish
Median rent ($/weekly)(a),245.0,Devenish
Average number of persons per bedroom,0.7,Devenish
Average household size,2.2,Devenish
Median age of persons,39.0,Wando Bridge
Median total personal income ($/weekly),1100.0,Wando Bridge
Median total family income ($/weekly),2333.0,Wando Bridge
Median total household income ($/weekly),2416.0,Wando Bridge
Median mortgage repayment ($/monthly),1771.0,Wando Bridge
Median rent ($/weekly)(a),150.0,Wando Bridge
Average number of persons per bedroom,0.7,Wando Bridge
Average household size,2.6,Wando Bridge
Median age of persons,37.0,Hoppers Crossing
Median total personal income ($/weekly),691.0,Hoppers Crossing
Median total family income ($/weekly),1793.0,Hoppers Crossing
Median total household income ($/weekly),1580.0,Hoppers Crossing
Median mortgage repayment ($/monthly),1600.0,Hoppers Crossing
Median rent ($/weekly)(a),340.0,Hoppers Crossing
Average number of persons per bedroom,0.8,Hoppers Crossing
Average household size,2.8,Hoppers Crossing
Median age of persons,62.0,Tarilta
Median total personal income ($/weekly),575.0,Tarilta
Median total family income ($/weekly),2250.0,Tarilta
Median total household income ($/weekly),1374.0,Tarilta
Median mortgage repayment ($/monthly),1000.0,Tarilta
Median rent ($/weekly)(a),0.0,Tarilta
Average number of persons per bedroom,0.9,Tarilta
Average household size,2.4,Tarilta
Median age of persons,58.0,Teddywaddy
Median total personal income ($/weekly),725.0,Teddywaddy
Median total family income ($/weekly),1687.0,Teddywaddy
Median total household income ($/weekly),1437.0,Teddywaddy
Median mortgage repayment ($/monthly),2916.0,Teddywaddy
Median rent ($/weekly)(a),0.0,Teddywaddy
Average number of persons per bedroom,0.7,Teddywaddy
Average household size,2.2,Teddywaddy
Median age of persons,41.0,Girgarre East
Median total personal income ($/weekly),730.0,Girgarre East
Median total family income ($/weekly),1875.0,Girgarre East
Median total household income ($/weekly),1562.0,Girgarre East
Median mortgage repayment ($/monthly),1514.0,Girgarre East
Median rent ($/weekly)(a),275.0,Girgarre East
Average number of persons per bedroom,0.7,Girgarre East
Average household size,2.4,Girgarre East
Median age of persons,45.0,Marionvale
Median total personal income ($/weekly),837.0,Marionvale
Median total family income ($/weekly),1625.0,Marionvale
Median total household income ($/weekly),1312.0,Marionvale
Median mortgage repayment ($/monthly),1300.0,Marionvale
Median rent ($/weekly)(a),265.0,Marionvale
Average number of persons per bedroom,0.7,Marionvale
Average household size,2.6,Marionvale
Median age of persons,39.0,Shelford
Median total personal income ($/weekly),747.0,Shelford
Median total family income ($/weekly),1875.0,Shelford
Median total household income ($/weekly),1778.0,Shelford
Median mortgage repayment ($/monthly),1330.0,Shelford
Median rent ($/weekly)(a),300.0,Shelford
Average number of persons per bedroom,0.8,Shelford
Average household size,2.8,Shelford
Median age of persons,61.0,Lake Marmal
Median total personal income ($/weekly),574.0,Lake Marmal
Median total family income ($/weekly),1624.0,Lake Marmal
Median total household income ($/weekly),574.0,Lake Marmal
Median mortgage repayment ($/monthly),0.0,Lake Marmal
Median rent ($/weekly)(a),0.0,Lake Marmal
Average number of persons per bedroom,0.5,Lake Marmal
Average household size,2.0,Lake Marmal
Median age of persons,59.0,Kulwin (Vic.)
