Statistic,Value,Suburb
Median mortgage repayment ($/monthly),1850.0,St Germains
Median rent ($/weekly)(a),225.0,St Germains
Average number of persons per bedroom,0.8,St Germains
Average household size,3.0,St Germains
Median age of persons,51.0,Port Fairy
Median total personal income ($/weekly),745.0,Port Fairy
Median total family income ($/weekly),1942.0,Port Fairy
Median total household income ($/weekly),1450.0,Port Fairy
Median mortgage repayment ($/monthly),1733.0,Port Fairy
Median rent ($/weekly)(a),300.0,Port Fairy
Average number of persons per bedroom,0.7,Port Fairy
Average household size,2.3,Port Fairy
Median age of persons,40.0,Mount Alfred
Median total personal income ($/weekly),866.0,Mount Alfred
Median total family income ($/weekly),2624.0,Mount Alfred
Median total household income ($/weekly),1562.0,Mount Alfred
Median mortgage repayment ($/monthly),1226.0,Mount Alfred
Median rent ($/weekly)(a),220.0,Mount Alfred
Average number of persons per bedroom,0.9,Mount Alfred
Average household size,2.7,Mount Alfred
Median age of persons,64.0,Sorrento (Vic.)
Median total personal income ($/weekly),936.0,Sorrento (Vic.)
Median total family income ($/weekly),2215.0,Sorrento (Vic.)
Median total household income ($/weekly),1658.0,Sorrento (Vic.)
Median mortgage repayment ($/monthly),2167.0,Sorrento (Vic.)
Median rent ($/weekly)(a),462.0,Sorrento (Vic.)
Average number of persons per bedroom,0.6,Sorrento (Vic.)
Average household size,2.0,Sorrento (Vic.)
Median age of persons,55.0,Percydale
Median total personal income ($/weekly),449.0,Percydale
Median total family income ($/weekly),1125.0,Percydale
Median total household income ($/weekly),900.0,Percydale
Median mortgage repayment ($/monthly),1442.0,Percydale
Median rent ($/weekly)(a),346.0,Percydale
Average number of persons per bedroom,0.6,Percydale
Average household size,2.2,Percydale
Median age of persons,48.0,Maroona
Median total personal income ($/weekly),916.0,Maroona
Median total family income ($/weekly),2083.0,Maroona
Median total household income ($/weekly),1874.0,Maroona
Median mortgage repayment ($/monthly),1257.0,Maroona
Median rent ($/weekly)(a),145.0,Maroona
Average number of persons per bedroom,0.7,Maroona
Average household size,2.5,Maroona
Median age of persons,35.0,Seville East
Median total personal income ($/weekly),838.0,Seville East
Median total family income ($/weekly),2168.0,Seville East
Median total household income ($/weekly),1968.0,Seville East
Median mortgage repayment ($/monthly),1820.0,Seville East
Median rent ($/weekly)(a),363.0,Seville East
Average number of persons per bedroom,0.9,Seville East
Average household size,2.9,Seville East
Median age of persons,59.0,Kurting
Median total personal income ($/weekly),525.0,Kurting
Median total family income ($/weekly),974.0,Kurting
Median total household income ($/weekly),900.0,Kurting
Median mortgage repayment ($/monthly),953.0,Kurting
Median rent ($/weekly)(a),230.0,Kurting
Average number of persons per bedroom,0.7,Kurting
Average household size,2.2,Kurting
Median age of persons,61.0,Picola West
Median total personal income ($/weekly),840.0,Picola West
Median total family income ($/weekly),1875.0,Picola West
Median total household income ($/weekly),383.0,Picola West
Median mortgage repayment ($/monthly),2167.0,Picola West
Median rent ($/weekly)(a),100.0,Picola West
Average number of persons per bedroom,0.6,Picola West
Average household size,1.8,Picola West
Median age of persons,62.0,Glengower
Median total personal income ($/weekly),762.0,Glengower
Median total family income ($/weekly),1874.0,Glengower
Median total household income ($/weekly),1375.0,Glengower
Median mortgage repayment ($/monthly),0.0,Glengower
Median rent ($/weekly)(a),0.0,Glengower
Average number of persons per bedroom,0.5,Glengower
Average household size,1.6,Glengower
Median age of persons,34.0,Wallinduc
Median total personal income ($/weekly),900.0,Wallinduc
Median total family income ($/weekly),1624.0,Wallinduc
Median total household income ($/weekly),1624.0,Wallinduc
Median mortgage repayment ($/monthly),867.0,Wallinduc
Median rent ($/weekly)(a),150.0,Wallinduc
Average number of persons per bedroom,0.6,Wallinduc
Average household size,2.1,Wallinduc
Median age of persons,43.0,Humevale
Median total personal income ($/weekly),839.0,Humevale
Median total family income ($/weekly),2455.0,Humevale
Median total household income ($/weekly),2266.0,Humevale
Median mortgage repayment ($/monthly),2379.0,Humevale
Median rent ($/weekly)(a),330.0,Humevale
Average number of persons per bedroom,0.9,Humevale
Average household size,3.1,Humevale
Median age of persons,49.0,Tarrenlea
Median total personal income ($/weekly),1499.0,Tarrenlea
Median total family income ($/weekly),2250.0,Tarrenlea
Median total household income ($/weekly),2250.0,Tarrenlea
Median mortgage repayment ($/monthly),1647.0,Tarrenlea
Median rent ($/weekly)(a),0.0,Tarrenlea
Average number of persons per bedroom,0.8,Tarrenlea
Average household size,2.8,Tarrenlea
Median age of persons,57.0,Glenaladale
Median total personal income ($/weekly),509.0,Glenaladale
Median total family income ($/weekly),899.0,Glenaladale
Median total household income ($/weekly),762.0,Glenaladale
Median mortgage repayment ($/monthly),1192.0,Glenaladale
Median rent ($/weekly)(a),100.0,Glenaladale
Average number of persons per bedroom,0.7,Glenaladale
Average household size,2.2,Glenaladale
Median age of persons,45.0,Wannon
Median total personal income ($/weekly),758.0,Wannon
Median total family income ($/weekly),1649.0,Wannon
Median total household income ($/weekly),1550.0,Wannon
Median mortgage repayment ($/monthly),1042.0,Wannon
Median rent ($/weekly)(a),100.0,Wannon
Average number of persons per bedroom,0.8,Wannon
Average household size,2.8,Wannon
Median age of persons,48.0,Tennyson (Vic.)
Median total personal income ($/weekly),393.0,Tennyson (Vic.)
Median total family income ($/weekly),1562.0,Tennyson (Vic.)
Median total household income ($/weekly),1437.0,Tennyson (Vic.)
Median mortgage repayment ($/monthly),1500.0,Tennyson (Vic.)
Median rent ($/weekly)(a),250.0,Tennyson (Vic.)
Average number of persons per bedroom,0.8,Tennyson (Vic.)
Average household size,2.8,Tennyson (Vic.)
Median age of persons,61.0,Silverleaves
Median total personal income ($/weekly),733.0,Silverleaves
Median total family income ($/weekly),1728.0,Silverleaves
Median total household income ($/weekly),1298.0,Silverleaves
Median mortgage repayment ($/monthly),1875.0,Silverleaves
Median rent ($/weekly)(a),335.0,Silverleaves
Average number of persons per bedroom,0.6,Silverleaves
Average household size,1.9,Silverleaves
Median age of persons,45.0,Freshwater Creek
Median total personal income ($/weekly),835.0,Freshwater Creek
Median total family income ($/weekly),2236.0,Freshwater Creek
Median total household income ($/weekly),2087.0,Freshwater Creek
Median mortgage repayment ($/monthly),2145.0,Freshwater Creek
Median rent ($/weekly)(a),300.0,Freshwater Creek
Average number of persons per bedroom,0.8,Freshwater Creek
Average household size,2.9,Freshwater Creek
Median age of persons,53.0,Pirron Yallock
Median total personal income ($/weekly),575.0,Pirron Yallock
Median total family income ($/weekly),1562.0,Pirron Yallock
Median total household income ($/weekly),1428.0,Pirron Yallock
Median mortgage repayment ($/monthly),1365.0,Pirron Yallock
Median rent ($/weekly)(a),200.0,Pirron Yallock
Average number of persons per bedroom,0.8,Pirron Yallock
Average household size,2.4,Pirron Yallock
Median age of persons,57.0,Stuart Mill
Median total personal income ($/weekly),543.0,Stuart Mill
Median total family income ($/weekly),1375.0,Stuart Mill
Median total household income ($/weekly),1042.0,Stuart Mill
Median mortgage repayment ($/monthly),705.0,Stuart Mill
Median rent ($/weekly)(a),205.0,Stuart Mill
Average number of persons per bedroom,0.7,Stuart Mill
Average household size,2.1,Stuart Mill
Median age of persons,55.0,Elevated Plains
Median total personal income ($/weekly),1208.0,Elevated Plains
Median total family income ($/weekly),2874.0,Elevated Plains
Median total household income ($/weekly),2624.0,Elevated Plains
Median mortgage repayment ($/monthly),4333.0,Elevated Plains
Median rent ($/weekly)(a),0.0,Elevated Plains
Average number of persons per bedroom,0.9,Elevated Plains
Average household size,2.4,Elevated Plains
Median age of persons,31.0,Rockbank
Median total personal income ($/weekly),896.0,Rockbank
Median total family income ($/weekly),2043.0,Rockbank
Median total household income ($/weekly),1781.0,Rockbank
Median mortgage repayment ($/monthly),1800.0,Rockbank
Median rent ($/weekly)(a),360.0,Rockbank
Average number of persons per bedroom,0.8,Rockbank
Average household size,2.6,Rockbank
Median age of persons,42.0,Wild Dog Valley (Vic.)
Median total personal income ($/weekly),725.0,Wild Dog Valley (Vic.)
Median total family income ($/weekly),1625.0,Wild Dog Valley (Vic.)
Median total household income ($/weekly),1625.0,Wild Dog Valley (Vic.)
Median mortgage repayment ($/monthly),1450.0,Wild Dog Valley (Vic.)
Median rent ($/weekly)(a),0.0,Wild Dog Valley (Vic.)
Average number of persons per bedroom,0.8,Wild Dog Valley (Vic.)
Average household size,3.2,Wild Dog Valley (Vic.)
Median age of persons,33.0,Tresco West
Median total personal income ($/weekly),615.0,Tresco West
Median total family income ($/weekly),1458.0,Tresco West
Median total household income ($/weekly),1375.0,Tresco West
Median mortgage repayment ($/monthly),1083.0,Tresco West
Median rent ($/weekly)(a),210.0,Tresco West
Average number of persons per bedroom,0.9,Tresco West
Average household size,3.3,Tresco West
Median age of persons,50.0,Wheatsheaf
Median total personal income ($/weekly),545.0,Wheatsheaf
Median total family income ($/weekly),1412.0,Wheatsheaf
Median total household income ($/weekly),1221.0,Wheatsheaf
Median mortgage repayment ($/monthly),1429.0,Wheatsheaf
Median rent ($/weekly)(a),266.0,Wheatsheaf
Average number of persons per bedroom,0.8,Wheatsheaf
Average household size,2.1,Wheatsheaf
Median age of persons,39.0,Kealba
Median total personal income ($/weekly),658.0,Kealba
Median total family income ($/weekly),1765.0,Kealba
Median total household income ($/weekly),1542.0,Kealba
Median mortgage repayment ($/monthly),1625.0,Kealba
Median rent ($/weekly)(a),370.0,Kealba
Average number of persons per bedroom,0.8,Kealba
Average household size,2.7,Kealba
Median age of persons,39.0,Tourello
Median total personal income ($/weekly),519.0,Tourello
Median total family income ($/weekly),1375.0,Tourello
Median total household income ($/weekly),1312.0,Tourello
Median mortgage repayment ($/monthly),1387.0,Tourello
Median rent ($/weekly)(a),85.0,Tourello
Average number of persons per bedroom,0.8,Tourello
Average household size,3.1,Tourello
Median age of persons,47.0,Trafalgar East
Median total personal income ($/weekly),767.0,Trafalgar East
Median total family income ($/weekly),2012.0,Trafalgar East
Median total household income ($/weekly),1894.0,Trafalgar East
Median mortgage repayment ($/monthly),1200.0,Trafalgar East
Median rent ($/weekly)(a),270.0,Trafalgar East
Average number of persons per bedroom,0.8,Trafalgar East
Average household size,2.7,Trafalgar East
Median age of persons,44.0,Modella
Median total personal income ($/weekly),956.0,Modella
Median total family income ($/weekly),2405.0,Modella
Median total household income ($/weekly),2218.0,Modella
Median mortgage repayment ($/monthly),2119.0,Modella
Median rent ($/weekly)(a),320.0,Modella
Average number of persons per bedroom,0.8,Modella
Average household size,2.7,Modella
Median age of persons,41.0,Lockwood South
Median total personal income ($/weekly),816.0,Lockwood South
Median total family income ($/weekly),2192.0,Lockwood South
Median total household income ($/weekly),2112.0,Lockwood South
Median mortgage repayment ($/monthly),1633.0,Lockwood South
Median rent ($/weekly)(a),320.0,Lockwood South
Average number of persons per bedroom,0.8,Lockwood South
Average household size,3.0,Lockwood South
Median age of persons,54.0,Litchfield
Median total personal income ($/weekly),743.0,Litchfield
Median total family income ($/weekly),1458.0,Litchfield
Median total household income ($/weekly),1416.0,Litchfield
Median mortgage repayment ($/monthly),0.0,Litchfield
Median rent ($/weekly)(a),110.0,Litchfield
Average number of persons per bedroom,0.6,Litchfield
Average household size,2.1,Litchfield
Median age of persons,44.0,Research
Median total personal income ($/weekly),1053.0,Research
Median total family income ($/weekly),3127.0,Research
Median total household income ($/weekly),2876.0,Research
Median mortgage repayment ($/monthly),2300.0,Research
Median rent ($/weekly)(a),431.0,Research
Average number of persons per bedroom,0.8,Research
Average household size,3.0,Research
Median age of persons,55.0,Apsley (Vic.)
Median total personal income ($/weekly),702.0,Apsley (Vic.)
Median total family income ($/weekly),1649.0,Apsley (Vic.)
Median total household income ($/weekly),1231.0,Apsley (Vic.)
Median mortgage repayment ($/monthly),440.0,Apsley (Vic.)
Median rent ($/weekly)(a),113.0,Apsley (Vic.)
Average number of persons per bedroom,0.7,Apsley (Vic.)
Average household size,2.1,Apsley (Vic.)
Median age of persons,49.0,Black Rock (Vic.)
Median total personal income ($/weekly),1067.0,Black Rock (Vic.)
Median total family income ($/weekly),3209.0,Black Rock (Vic.)
Median total household income ($/weekly),2416.0,Black Rock (Vic.)
Median mortgage repayment ($/monthly),2897.0,Black Rock (Vic.)
Median rent ($/weekly)(a),541.0,Black Rock (Vic.)
Average number of persons per bedroom,0.8,Black Rock (Vic.)
Average household size,2.5,Black Rock (Vic.)
Median age of persons,54.0,Creightons Creek
Median total personal income ($/weekly),850.0,Creightons Creek
Median total family income ($/weekly),1875.0,Creightons Creek
