property_id,coordinates
17755443,POINT (-38.0445448 145.2621979)
17755433,POINT (-37.6321 144.886413)
17755431,POINT (-37.5716258 144.7171507)
17755415,POINT (-37.906475 144.7614796)
17755412,POINT (-37.7567486 144.6900457)
17755407,POINT (-37.8045747 144.8883499)
17755393,POINT (-38.0461552 145.2681745)
17755388,POINT (-37.8207565 145.0082726)
17755387,POINT (-34.1942601 142.1522719)
17755373,POINT (-38.2025274 145.4878253)
17755370,POINT (-37.896727 144.624241)
17755364,POINT (-37.9721087 145.2509116)
17755360,POINT (-37.8185768 144.9473735)
17755349,POINT (-37.9163598 145.0228253)
17755342,POINT (-37.5941103 143.819451)
17755337,POINT (-37.6180168 144.7724914)
17755335,POINT (-37.8730114 144.9809669)
17755329,POINT (-37.754434 145.053849)
17755327,POINT (-37.9098084 144.7160942)
17755320,POINT (-37.8844477 145.1318797)
17755318,POINT (-37.8229872 144.9508578)
17755304,POINT (-37.8533406 145.0445402)
17755281,POINT (-37.90708590000001 145.1149229)
17755280,POINT (-37.8322552 145.0319502)
17755277,POINT (-37.7476334 144.854088)
17755273,POINT (-37.7008689 144.5696788)
17755257,POINT (-37.9127201 144.7580608)
17755226,POINT (-38.1569192 145.1331256)
17755224,POINT (-37.6182931 143.8880285)
17755205,POINT (-37.7563229 145.0066319)
17755197,POINT (-37.6003308 145.0784981)
17755195,POINT (-37.6274716 145.0736731)
17755173,POINT (-37.8375514 144.9957902)
17755164,POINT (-38.3853141 142.5073165)
17755161,POINT (-37.8143793 144.6981912)
17755149,POINT (-37.8538149 145.0127491)
17755148,POINT (-37.8562528 144.973063)
17755147,POINT (-37.8677009 145.0752706)
17755140,POINT (-36.1164857 146.8576085)
17755134,POINT (-37.7936169 145.0365257)
17755131,POINT (-38.1481941 145.131622)
17755130,POINT (-38.0689351 145.2529836)
17755121,POINT (-38.0694005 144.3542417)
17755114,POINT (-37.950504 145.5574698)
17755110,POINT (-37.8404395 144.634362)
17755104,POINT (-37.5463023 144.9899772)
17755099,POINT (-37.8934338 145.1668054)
17755085,POINT (-37.8648341 144.9865573)
17755074,POINT (-37.8762493 144.9898193)
17755070,POINT (-38.1010231 144.3373714)
17755065,POINT (-37.9343781 145.0288148)
17755055,POINT (-37.9876984 145.0580365)
17755046,POINT (-38.1211263 145.1566476)
17755022,POINT (-37.8269708 144.9574501)
17755006,POINT (-37.7754454 144.9481381)
17755005,POINT (-37.5920075 143.8661955)
17755000,POINT (-37.6043878 145.0155778)
17754996,POINT (-37.9418072 145.1921149)
17754977,POINT (-38.170871 144.3330135)
17754969,POINT (-37.8132373 144.8886025)
17754967,POINT (-37.8685464 144.98285)
17754959,POINT (-34.1956465 142.1527645)
17754958,POINT (-37.8000429 144.9082015)
17754956,POINT (-37.7965076 144.9215089)
17754950,POINT (-38.0943601 145.2720734)
17754949,POINT (-34.2011492 142.1444416)
17754948,POINT (-37.7950177 144.9338295)
17754946,POINT (-37.7964119 144.9264294)
17754934,POINT (-37.8756791 145.0329407)
17754929,POINT (-38.052115 145.122479)
17754917,POINT (-37.80719819999999 144.9606531)
17754913,POINT (-37.76676459999999 144.9673036)
17754898,POINT (-37.8089213 144.9625669)
17754895,POINT (-37.9117443 145.0399407)
17754894,POINT (-37.69684 145.0365718)
17754882,POINT (-37.7378486 144.9982148)
17754874,POINT (-38.0290037 145.1047054)
17754865,POINT (-37.7342613 144.8134158)
17754861,POINT (-37.7125491 144.7345086)
17754860,POINT (-38.1270865 145.1595075)
17754851,POINT (-37.6071094 145.0647588)
17754850,POINT (-37.7740872 145.0104428)
17754842,POINT (-37.8412715 144.6516174)
17754838,POINT (-37.9543498 145.0502282)
17754837,POINT (-37.715619 145.0018916)
17754833,POINT (-37.9516931 145.175693)
17754799,POINT (-37.7942419 144.8837441)
17754792,POINT (-34.2577467 142.177071)
17754787,POINT (-38.0732091 145.4326899)
17754783,POINT (-37.643674 144.9218969)
17754780,POINT (-37.1977684 145.7019902)
17754778,POINT (-36.7459922 144.2704965)
17754773,POINT (-37.794848 144.971853)
17754772,POINT (-37.30190109999999 146.1384929)
17754761,POINT (-37.8589053 144.9833327)
17754740,POINT (-38.0980661 145.297913)
17754724,POINT (-34.2031701 142.1154899)
17754723,POINT (-37.8798034 145.1636286)
17754722,POINT (-37.913185 145.1642549)
17754712,POINT (-37.8547949 144.6787036)
17754690,POINT (-38.3237433 144.9831033)
17754679,POINT (-37.9291938 145.0104171)
17754674,POINT (-37.7872355 144.8952479)
17754668,POINT (-37.5920159 144.9193462)
17754647,POINT (-38.1860388 144.4586494)
17754630,POINT (-37.7811082 145.3237706)
17754603,POINT (-37.7209488 144.6575609)
17754590,POINT (-36.329031 145.6842262)
17754587,POINT (-37.738686 144.8880702)
17754581,POINT (-37.9611628 145.0402228)
17754571,POINT (-36.777573 144.2914673)
17754567,POINT (-38.2646418 144.5145854)
17754566,POINT (-38.1444742 145.9147168)
17754565,POINT (-37.471069 144.9865709)
17754564,POINT (-37.9325434 145.1331496)
17754530,POINT (-37.813231 144.9430728)
17754512,POINT (-37.8626156 145.0202786)
17754510,POINT (-37.785716 144.9694379)
17754501,POINT (-37.8472188 144.9800944)
17754496,POINT (-37.8528041 144.9794182)
17754489,POINT (-37.8206228 144.6922235)
17754486,POINT (-37.8671042 144.6709683)
17754467,POINT (-37.6663445 145.0565945)
17754455,POINT (-37.5228656 143.8087028)
17754454,POINT (-37.6456028 144.9208482)
17754448,POINT (-37.7596004 144.9414751)
17754447,POINT (-37.8088304 145.0114691)
17754440,POINT (-38.0971047 145.179203)
17754427,POINT (-36.7247664 144.3129988)
17754423,POINT (-37.763827 144.8636892)
17754422,POINT (-37.8283482 145.0323547)
17754418,POINT (-37.7901721 144.9396271)
17754392,POINT (-37.7748161 145.0272145)
17754384,POINT (-37.7941105 144.9708456)
17754372,POINT (-37.8248889 147.6494302)
17754366,POINT (-38.0081747 144.3782042)
17754357,POINT (-38.0961436 145.2775577)
17754356,POINT (-37.8267241 144.95949)
17754355,POINT (-37.8749089 145.0829575)
17754344,POINT (-38.5254711 145.3401558)
17754325,POINT (-37.8140428 144.9532538)
17754313,POINT (-37.9397393 145.0545985)
17754291,POINT (-38.36471179999999 145.5611675)
17754278,POINT (-37.6935777 144.5807809)
17754275,POINT (-38.1787687 146.2598223)
17754272,POINT (-37.8199584 145.131053)
17754268,POINT (-37.7825298 144.9307399)
