PropertyID,count_atm,count_bank,count_childcare,count_clinic,count_community_centre,count_doctors,count_fast_food,count_fuel,count_kindergarten,count_parking_space,count_restaurant,min_dist_atm,min_dist_bank,min_dist_childcare,min_dist_clinic,min_dist_community_centre,min_dist_doctors,min_dist_fast_food,min_dist_fuel,min_dist_kindergarten,min_dist_parking_space,min_dist_restaurant,count_bar,count_bus_station,count_cafe,count_charging_station,count_cinema,count_college,count_fire_station,count_food_court,count_library,count_nightclub,count_nursing_home,count_parcel_locker,count_pharmacy,count_police,count_social_facility,count_taxi,count_theatre,count_university,count_veterinary,min_dist_bar,min_dist_bus_station,min_dist_cafe,min_dist_charging_station,min_dist_cinema,min_dist_college,min_dist_fire_station,min_dist_food_court,min_dist_library,min_dist_nightclub,min_dist_nursing_home,min_dist_parcel_locker,min_dist_pharmacy,min_dist_police,min_dist_social_facility,min_dist_taxi,min_dist_theatre,min_dist_university,min_dist_veterinary,count_car_rental,count_coworking_space,count_events_venue,count_hospital,count_social_centre,min_dist_car_rental,min_dist_coworking_space,min_dist_events_venue,min_dist_hospital,min_dist_social_centre,count_motorcycle_parking,count_toy_library,count_waste_disposal,min_dist_motorcycle_parking,min_dist_toy_library,min_dist_waste_disposal,count_brothel,count_casino,count_conference_centre,count_exhibition_centre,count_internet_cafe,count_juice_bar,count_prison,min_dist_brothel,min_dist_casino,min_dist_conference_centre,min_dist_exhibition_centre,min_dist_internet_cafe,min_dist_juice_bar,min_dist_prison,count_student_accommodation,min_dist_student_accommodation,count_events_centre,count_healthcare,min_dist_events_centre,min_dist_healthcare,count_bus_station;shelter,min_dist_bus_station;shelter,count_courier,min_dist_courier,count_waste_transfer_station,min_dist_waste_transfer_station,count_retail,min_dist_retail,count_restaurant; cafe,min_dist_restaurant; cafe,count_restaurant;cafe,min_dist_restaurant;cafe,count_biergarten,count_meeting_point,count_music_venue,count_tool_library,min_dist_biergarten,min_dist_meeting_point,min_dist_music_venue,min_dist_tool_library,count_private parking_space,min_dist_private parking_space
17758504,2.0,7.0,1.0,5.0,3.0,2.0,15.0,8.0,9.0,119.0,13.0,1649.7512792164507,1650.665950360359,1774.2366899331353,683.5240186173576,891.3029556865079,1696.0309883357447,816.7424614646358,804.30057711222,861.8537653489493,700.7108886656282,1041.0923805551029,2.0,,13.0,,1.0,,1.0,,2.0,,,1.0,9.0,1.0,7.0,1.0,,1.0,,1871.1379696231718,,820.1903408832594,,1841.3319091907283,,1495.439398850082,,1597.4560169204312,,,1309.1298625622305,837.2502962912445,1521.994710064665,509.7230505266144,1953.767897759646,,1120.3586409823374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758502,5.0,6.0,2.0,28.0,2.0,8.0,13.0,9.0,6.0,18.0,70.0,1070.9534401426906,949.5585640617247,280.0031455116782,342.2104932203329,1108.573533957951,940.1392653730649,421.19564217263326,715.1375568109214,574.1937910064113,721.3834964996421,394.85469467507676,,,30.0,,,7.0,1.0,,2.0,,,1.0,12.0,1.0,2.0,1.0,,,2.0,,,396.3236846648385,,,542.1285820984764,1409.8348566583932,,623.2963805281198,,,1966.1752310945133,413.2866072319428,668.1960080653007,486.30172795649247,1287.6239419572787,,,1281.5018965998595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758484,,,,,1.0,,,,,,,,,,,564.0545538725427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758478,,2.0,,1.0,1.0,3.0,14.0,5.0,3.0,,1.0,,306.2857144730317,,480.9357662886574,1930.9140915812245,397.5587913712473,162.05588519669755,345.4999240733647,1317.1535876429864,,1799.5882014330782,,,7.0,,,,,,1.0,,,,3.0,,1.0,,,1.0,1.0,,,161.77990706847638,,,,,,369.8643624381533,,,,288.69739151228094,,1979.6171321896097,,,1110.3376487866783,1311.2955281106579,,,,2.0,,,,,822.6087708640725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758477,49.0,38.0,1.0,19.0,9.0,8.0,242.0,4.0,4.0,380.0,546.0,400.85587018738687,400.92162461004517,1505.0612664258745,535.5784467123775,548.6566619908341,705.2112119004124,347.9081339368546,1573.7588755241811,707.0267423425591,348.4543086706132,116.45774642278346,114.0,1.0,414.0,16.0,5.0,9.0,3.0,13.0,12.0,9.0,,7.0,28.0,10.0,2.0,7.0,12.0,12.0,1.0,445.32536803899495,509.9395526547343,66.33517185805063,583.872303166034,930.8301109957542,467.1846397345521,592.5103341487811,587.9577108563981,804.1028430425789,1039.397415133405,,481.5175686313531,426.9592534500345,389.02336709532625,976.3757197708902,578.7635700187469,1155.9763925701013,708.9265210378252,1717.2089002241291,15.0,4.0,14.0,5.0,,536.3726299616254,735.7963323338173,446.6538288289401,1816.9036218209815,,14.0,,3.0,506.30962989813077,,1243.652028718281,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1928.2070855310678,1428.4559348058403,1289.2615107191698,1381.089157747625,665.1376247948368,1851.9444787537452,375.2318680092645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758471,55.0,50.0,3.0,22.0,11.0,10.0,267.0,6.0,5.0,386.0,701.0,104.82539723977392,245.04660554773713,1252.4695786450777,342.27543511452535,612.6538067011181,322.7815815177036,45.77194790040689,1183.8532591713931,965.4508264723376,342.3446176886723,30.87924545597982,152.0,1.0,498.0,23.0,6.0,12.0,3.0,14.0,14.0,11.0,,8.0,36.0,10.0,6.0,8.0,29.0,19.0,2.0,17.211137983831545,182.354317313877,49.65581865985763,149.90051550772029,846.1211211899291,458.68178232181924,790.2697341646759,92.47383629329954,347.1778965541335,359.1869582253163,,112.56260385316642,240.3914387898681,461.25675185470163,1244.943767339994,36.14317104296103,875.5661384166007,291.9088872384007,1794.4046949338967,17.0,5.0,17.0,2.0,,105.70318201108671,336.95200992986776,756.6816004651891,1906.759099074871,,24.0,,3.0,113.4209939521779,,733.230152680057,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1759.0198977355792,796.9317470550578,889.1897818993078,926.0329540418362,249.69952162811447,1180.9923254239463,586.3845830692334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758451,2.0,,1.0,3.0,2.0,1.0,7.0,5.0,2.0,,13.0,1212.841309260535,,1798.4672019548664,1383.9469580587745,1433.0259166831345,1380.6881391277504,1184.0630086463116,1215.2075020660577,1400.0538514643147,,1167.805361444409,,,4.0,,,,,,1.0,,,,3.0,,1.0,,,4.0,3.0,,,1606.9368073999037,,,,,,1847.1911119442823,,,,1225.5401544300491,,1282.36888075302,,,1472.8560642611965,1973.3554808795789,2.0,,1.0,4.0,2.0,1602.2017825097269,,1908.2446823406751,1220.697226003281,1884.2921798690786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758434,,,,,2.0,,1.0,1.0,1.0,,,,,,,829.8144731243839,,1949.7547571888258,1062.0280206531309,908.9306587994026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758432,6.0,5.0,4.0,11.0,8.0,7.0,24.0,8.0,9.0,706.0,104.0,846.4730489608254,758.9803593997393,333.43372049841497,113.66107305929907,178.42568535498376,709.4819892600176,118.25259301993488,1037.4054962989103,190.27514988549407,238.80457182517446,319.65368384867895,5.0,1.0,65.0,2.0,1.0,2.0,1.0,,4.0,2.0,1.0,,14.0,2.0,8.0,1.0,1.0,2.0,3.0,740.7996998869078,1862.9942000029525,352.71130990270257,514.1541566946323,1833.7652192145722,420.66488195752845,681.811700002449,,543.7839867317814,1010.1591743276186,1466.2305826811876,,510.2709147167948,584.3475420711127,340.4758993471077,1828.0053118644214,1640.8705335368466,993.9761928221485,602.1802266026356,1.0,,1.0,2.0,,1169.2140591806635,,541.5462926569696,777.0490897810668,,,,1.0,,,735.241944129228,,2.0,,,,,,,813.3040564215174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758422,1.0,1.0,,1.0,1.0,,11.0,4.0,2.0,68.0,3.0,1611.3599932480543,1606.8893359314836,,1653.26477722715,1962.538093090506,,296.5011514912037,1495.9452993147893,189.31194503384273,1016.1445384389854,1571.00317401971,,,4.0,,,,,,,,1.0,,3.0,,2.0,,3.0,,,,,1039.5282550759766,,,,,,,,1915.262516287461,,831.8272916989557,,617.0105750468383,,932.4515087903873,,,,,,1.0,,,,,2121.2798271844176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
