PropertyID,count_atm,count_bank,count_bar,count_bus_station,count_cafe,count_car_rental,count_casino,count_charging_station,count_childcare,count_cinema,count_clinic,count_college,count_community_centre,count_conference_centre,count_coworking_space,count_doctors,count_events_venue,count_exhibition_centre,count_fast_food,count_fire_station,count_food_court,count_fuel,count_internet_cafe,count_kindergarten,count_library,count_motorcycle_parking,count_nightclub,count_parcel_locker,count_parking_space,count_pharmacy,count_police,count_prison,count_restaurant,count_social_facility,count_taxi,count_theatre,count_university,count_veterinary,count_waste_disposal,min_dist_atm,min_dist_bank,min_dist_bar,min_dist_bus_station,min_dist_cafe,min_dist_car_rental,min_dist_casino,min_dist_charging_station,min_dist_childcare,min_dist_cinema,min_dist_clinic,min_dist_college,min_dist_community_centre,min_dist_conference_centre,min_dist_coworking_space,min_dist_doctors,min_dist_events_venue,min_dist_exhibition_centre,min_dist_fast_food,min_dist_fire_station,min_dist_food_court,min_dist_fuel,min_dist_internet_cafe,min_dist_kindergarten,min_dist_library,min_dist_motorcycle_parking,min_dist_nightclub,min_dist_parcel_locker,min_dist_parking_space,min_dist_pharmacy,min_dist_police,min_dist_prison,min_dist_restaurant,min_dist_social_facility,min_dist_taxi,min_dist_theatre,min_dist_university,min_dist_veterinary,min_dist_waste_disposal,count_hospital,count_meeting_point,count_nursing_home,count_social_centre,count_tool_library,count_waste_transfer_station,min_dist_hospital,min_dist_meeting_point,min_dist_nursing_home,min_dist_social_centre,min_dist_tool_library,min_dist_waste_transfer_station,count_biergarten,count_music_venue,min_dist_biergarten,min_dist_music_venue,count_restaurant;cafe,min_dist_restaurant;cafe,count_private parking_space,min_dist_private parking_space,count_brothel,count_juice_bar,min_dist_brothel,min_dist_juice_bar,count_toy_library,min_dist_toy_library,count_student_accommodation,min_dist_student_accommodation,count_courier,count_events_centre,count_healthcare,min_dist_courier,min_dist_events_centre,min_dist_healthcare,count_car_wash;cafe,min_dist_car_wash;cafe,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_retail,min_dist_retail,count_diused:fuel,min_dist_diused:fuel,count_bus_station;shelter,min_dist_bus_station;shelter,count_restaurant; cafe,min_dist_restaurant; cafe
17750644,31.0,17.0,123.0,,265.0,1.0,,13.0,3.0,4.0,17.0,6.0,15.0,,,21.0,31.0,,97.0,2.0,3.0,17.0,2.0,17.0,13.0,11.0,10.0,3.0,63.0,29.0,4.0,,440.0,9.0,1.0,15.0,12.0,5.0,2.0,338.9349682469154,337.0568692095175,42.43677271527315,,38.17414349145946,1785.3056659342635,,964.9584751645388,597.7156016821435,616.8130353555205,159.04970207823885,166.0800997711586,151.39081271183025,,,522.9496195273642,364.6799873392706,,74.11133348544571,1280.4087738312448,1802.5897666461894,350.96828523302537,640.3613901026365,510.48615265319376,163.2257505092948,1605.198908643302,426.3186409075897,1755.497847199163,178.77697660868043,163.56722859739486,447.9587480332469,,37.7065695101064,123.17755632334159,524.0146884060717,242.4953738831601,1001.156806089532,186.28253031174967,785.9052885697071,13.0,,,,,,1095.4307034789285,,,,,,,,,,,,,,2.0,,947.1844854169624,,,,4.0,1833.8102461944638,1.0,1.0,1.0,1112.4309002956168,1340.8364575939918,1530.9349821709134,,,,,,,,,,,,
17750640,,,,,1.0,,,,1.0,,2.0,,1.0,,,2.0,,,4.0,,,4.0,,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,964.2770262856901,,,,1698.952552947156,,1984.1859810591352,,1765.085551436301,,,1913.3892027116012,,,576.316289476857,,,636.2993075208203,,733.240809896331,,,,,,732.3971000160965,,,1678.342255950333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750637,2.0,5.0,4.0,,9.0,,,,2.0,,2.0,,1.0,,,4.0,,,24.0,,,7.0,,6.0,1.0,,,,225.0,2.0,,,16.0,5.0,1.0,,1.0,1.0,,901.5539611309966,1113.9957348899625,679.6201849553994,,711.2674773291809,,,,880.6079347178907,,1249.4457497702972,,1697.0550260148489,,,702.610973783983,,,248.46413465056312,,,208.19469431264807,,1218.0061079015013,1249.5987091144573,,,,1039.893531023973,956.6362732867494,,,777.5437773002682,1284.6294050282088,999.7756851953703,,2473.5478271331144,1327.53841287379,,1.0,,,,,,1990.919594327361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750635,1.0,5.0,17.0,,49.0,2.0,,2.0,,2.0,5.0,,4.0,,,1.0,,,16.0,1.0,,6.0,,2.0,2.0,,1.0,1.0,80.0,6.0,2.0,,78.0,4.0,2.0,5.0,1.0,2.0,,1829.7432642078886,595.2874493859567,260.38833936841314,,88.32880977856131,904.1782704115883,,687.3445848764535,,590.6036541100066,1540.448626033705,,409.97286836752676,,,1685.876503919826,,,233.60223517670528,1664.592881724542,,621.6039834919062,,1642.2208825609437,1289.2690963320053,,527.394388275314,1568.7318889219728,1800.0085826339773,287.8376241027925,914.3340868995235,,183.37161753118068,503.9830874073121,467.32645144517966,99.1976620111278,1979.4909041844817,1384.7434402169558,,1.0,,,1.0,,,2110.1355504137036,,,1409.0575679099838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750631,12.0,3.0,47.0,,118.0,1.0,,6.0,,2.0,8.0,,13.0,,,23.0,9.0,,59.0,1.0,,4.0,,17.0,4.0,,2.0,1.0,,14.0,2.0,,125.0,9.0,,,3.0,4.0,,933.6983891372704,946.576485749302,28.815796959427193,,58.021285979241,991.8942012582271,,224.5909072552916,,615.9733267945472,74.11072611652921,,265.080727420394,,,677.0527349064215,615.2516204519225,,46.818332102584726,752.378158667979,,272.91380818621735,,594.6503013172013,867.6593811772957,,1235.7411813081799,955.5308231991459,,402.9872009094119,1104.0551581286259,,110.67153771080815,1059.8169535651068,,,1320.2657764805797,241.49865502205768,,3.0,1.0,1.0,2.0,1.0,1.0,679.1865604881168,1042.906436300082,2000.9556157715683,840.7827989965135,568.9474521537852,875.7555541365276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750623,1.0,6.0,,,6.0,,,2.0,3.0,,5.0,1.0,3.0,,,1.0,,,18.0,1.0,,4.0,,2.0,1.0,,,,52.0,4.0,1.0,,19.0,1.0,,,,2.0,,1862.7592139704948,1788.0489078334417,,,1816.762641800093,,,1866.8232329775076,932.842346857755,,1772.028145089287,1150.5436190271416,1073.76986809631,,,1778.3699856317796,,,1391.3568375831705,1789.2431309484846,,1715.788648215493,,199.52030755899526,1016.6885283523442,,,,942.2492443219088,1834.682412451561,1927.243203443668,,1392.1573341777057,722.7925730915118,,,,1891.2949693844218,,1.0,,1.0,,,,2111.191886861003,,656.6875526945245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750620,8.0,20.0,24.0,,141.0,3.0,,6.0,4.0,2.0,13.0,6.0,6.0,,2.0,9.0,4.0,,56.0,1.0,,9.0,,7.0,10.0,,4.0,,147.0,16.0,2.0,,158.0,12.0,5.0,14.0,4.0,3.0,,1378.1053109638035,296.5055726321776,412.16777373741036,,64.25621111925606,1083.6579869733375,,857.8372593005844,737.6998303370166,1956.7145635729082,1268.6415855003288,695.8866203847715,413.444211405351,,1530.48866022703,372.11964357988154,1576.4507438121327,,319.50379666117095,1789.8643846312855,,617.365255326687,,823.8889259893791,969.4303961440344,,1092.7099983591825,,705.0591771570006,358.90540624131455,1368.0116974398834,,82.34072589387932,957.7460312075547,933.2495139222596,715.8177218067697,1138.402380217857,1710.4724508936522,,1.0,,,3.0,,,1092.8380340168621,,,1399.507832777068,,,,,,,,,,,3.0,,706.250633261846,,1.0,1124.6786259235284,,,,,,,,,,,,,,,,,,,,
17750613,6.0,8.0,,1.0,25.0,3.0,,2.0,8.0,,8.0,3.0,7.0,,,2.0,1.0,,29.0,1.0,1.0,6.0,,7.0,2.0,,,1.0,371.0,4.0,1.0,,41.0,6.0,1.0,,1.0,2.0,17.0,981.328945236289,908.9485582911198,,962.498914752207,103.27499353125178,1540.8249801708528,,1115.2872263958736,341.83564310748966,,808.4147952705923,704.4991175712224,299.7242002262318,,,916.9416691885883,331.2987354866937,,945.1684565541823,394.88119359752545,954.3373308740387,516.0956744079201,,533.1127686689448,484.4586407767285,,,1898.0882310034763,316.60721398404246,913.0334038093043,536.975619074333,,766.1522484441107,648.444678094747,1097.589314224231,,845.8912216587004,1683.8280549034946,946.042935495259,2.0,,,,,,1309.897936202054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750609,,,1.0,,3.0,2.0,,2.0,1.0,,1.0,,,,,1.0,,,10.0,2.0,,6.0,,3.0,2.0,,,,5631.0,1.0,1.0,,6.0,,,,,1.0,,,,871.0919569585585,,318.28098585955786,1278.9863074808916,,628.3420736238727,357.4769269413235,,1107.9250938390494,,,,,310.98394852808246,,,297.1134292757848,686.8314351187482,,360.85636803115943,,502.19268979455865,1131.526229118585,,,,619.32773851371,1161.2968348864667,1947.073170935347,,347.3582853603003,,,,,1710.2373319530823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750597,,,,1.0,2.0,,,,2.0,,2.0,,1.0,,,,,,9.0,,,2.0,,,,,,,23.0,,,,3.0,,,,,,,,,,1417.25076972773,925.3539526935599,,,,1123.4141346421925,,634.6892208365769,,892.1034194832371,,,,,,888.8246599997254,,,471.43503876467935,,,,,,,266.3362297401602,,,,935.0505288611265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
