property_id,rental_price,bedrooms,bathrooms,car_spaces,property_type,land_area,property_features,suburb,postcode,year,quarter,age_0_to_19,age_20_to_39,age_40_to_59,age_60_plus,agency_name,agent_name,appointment_only,avg_days_on_market,description,family_percentage,features_list,first_listed_date,full_address,last_sold_date,listing_status,long_term_resident,median_rent_price,median_sold_price,number_sold,renter_percentage,schools,single_percentage,state_abbreviation,structured_features,unit_number,updated_date,url,coordinates
16451851.0,650 per week includes electricity and water,2,1.0,2.0,house,1012.0,"2, ,1, ,2, 1012,",daylesford,3460,2023,06,,,,,,,,,,,,,"Frazer Street, Daylesford, VIC 3460",,,,,,,,,,,,,,77-frazer-street-daylesford-vic-3460-16451851,
16454622.0,500 per week,3,2.0,1.0,house,0.0,"3, ,2, ,1,",hepburn,3461,2023,06,,,,,,,,,,,,,"Wynvale Rise, Hepburn, VIC 3461",,,,,,,,,,,,,,12-wynvale-rise-hepburn-vic-3461-16454622,
16466631.0,650 per week,3,3.0,5.0,house,0.0,"3, ,3, ,5,",hepburn springs,3461,2023,06,,,,,,,,,,,,,"Main Road Hepburn, Springs, VIC 3461",,,,,,,,,,,,,,85-main-road-hepburn-springs-vic-3461-16466631,
16469124.0,470 per week,3,2.0,1.0,house,0.0,"3, ,2, ,1,",daylesford,3460,2023,06,,,,,,,,,,,,,"Perrins Street, Daylesford, VIC 3460",,,,,,,,,,,,,,22-perrins-street-daylesford-vic-3460-16469124,
16477225.0,440 per week,3,1.0,3.0,house,0.0,"3, ,1, ,3,",coomoora,3461,2023,06,,,,,,,,,,,,,"Coomoora School Road, Coomoora, VIC 3461",,,,,,,,,,,,,,24-coomoora-school-road-coomoora-vic-3461-16477225,
16433902.0,590 pw,5,2.0,2.0,house,0.0,"5, ,2, ,2,",frankston,3199,2023,06,,,,,,,,,,,,,"Yarla Court, Frankston, VIC 3199",,,,,,,,,,,,,,8-yarla-court-frankston-vic-3199-16433902,
16452019.0,400 per week,2,1.0,1.0,apartment  unit  flat,0.0,"2, ,1, ,1,",frankston,3199,2023,06,,,,,,,,,,,,,"31 Cricklewood Avenue, Frankston, VIC 3199",,,,,,,,,,,,,,4-29-31-cricklewood-avenue-frankston-vic-3199-16452019,
16454325.0, 490 per week,4,1.0,1.0,house,0.0,"4, ,1, ,1,",frankston,3199,2023,06,,,,,,,,,,,,,"Burns St, Frankston, VIC 3199",,,,,,,,,,,,,,20-burns-st-frankston-vic-3199-16454325,
16464372.0,1350 pw,5,4.0,4.0,house,0.0,"5, ,4, ,4,",frankston,3199,2023,06,,,,,,,,,,,,,"Cliff Road, Frankston, VIC 3199",,,,,,,,,,,,,,32-cliff-road-frankston-vic-3199-16464372,
16465577.0,500 weekly,3,2.0,2.0,house,338.0,"3, ,2, ,2, 338,",frankston,3199,2023,06,,,,,,,,,,,,,"Woodlea Court, Frankston, VIC 3199",,,,,,,,,,,,,,1-woodlea-court-frankston-vic-3199-16465577,
16467234.0,500 pw,3,1.0,2.0,house,0.0,"3, ,1, ,2,",frankston,3199,2023,06,,,,,,,,,,,,,"Alexander Crescent, Frankston, VIC 3199",,,,,,,,,,,,,,24-alexander-crescent-frankston-vic-3199-16467234,
16467277.0,325 pw,1,1.0,1.0,apartment  unit  flat,0.0,"1, ,1, ,1,",frankston,3199,2023,06,,,,,,,,,,,,,"24 Burns Street, Frankston, VIC 3199",,,,,,,,,,,,,,2-24-burns-street-frankston-vic-3199-16467277,
16470858.0,400 pw,2,1.0,1.0,apartment  unit  flat,0.0,"2, ,1, ,1,",frankston,3199,2023,06,,,,,,,,,,,,,"1 Foot Street, Frankston, VIC 3199",,,,,,,,,,,,,,20-1-foot-street-frankston-vic-3199-16470858,
16471420.0,19000,1,1.0,,apartment  unit  flat,0.0,"1, ,1, ,,",frankston,3199,2023,06,,,,,,,,,,,,,"325 Nepean Highway, Frankston, VIC 3199",,,,,,,,,,,,,,117-325-nepean-highway-frankston-vic-3199-16471420,
16472155.0,530 per week,4,2.0,,house,0.0,"4, ,2, ,,",frankston,3199,2023,06,,,,,,,,,,,,,"Brushwood Grove, Frankston, VIC 3199",,,,,,,,,,,,,,7-brushwood-grove-frankston-vic-3199-16472155,
16475274.0,440 per week,2,1.0,1.0,apartment  unit  flat,0.0,"2, ,1, ,1,",frankston,3199,2023,06,,,,,,,,,,,,,"5 Reservoir Road, Frankston, VIC 3199",,,,,,,,,,,,,,7-5-reservoir-road-frankston-vic-3199-16475274,
16475507.0,590 weekly,3,2.0,2.0,house,588.0,"3, ,2, ,2, 588,",frankston,3199,2023,06,,,,,,,,,,,,,"Malcolm Ct, Frankston, VIC 3199",,,,,,,,,,,,,,15-malcolm-ct-frankston-vic-3199-16475507,
16479859.0,480 pw,3,1.0,1.0,house,0.0,"3, ,1, ,1,",frankston,3199,2023,06,,,,,,,,,,,,,"Ashleigh Avenue, Frankston, VIC 3199",,,,,,,,,,,,,,31-ashleigh-avenue-frankston-vic-3199-16479859,
16481076.0,460,3,1.0,2.0,house,0.0,"3, ,1, ,2,",frankston,3199,2023,06,,,,,,,,,,,,,"Woorilla Court, Frankston, VIC 3199",,,,,,,,,,,,,,3-woorilla-court-frankston-vic-3199-16481076,
