school_name,education_sector,school_type,establishment_year,x,y,coordinates
Nathalia Secondary College,Government,Secondary,2023,145.2,-36.1,POINT (145.2 -36.1)
Notre Dame College,Catholic,Secondary,2023,145.4,-36.4,POINT (145.4 -36.4)
Nullawarre and District Primary School,Government,Primary,2023,142.7,-38.5,POINT (142.7 -38.5)
Nyah District Primary School,Government,Primary,2023,143.3,-35.2,POINT (143.3 -35.2)
Pyramid Hill College,Government,Pri/Sec,2023,144.1,-36.0,POINT (144.1 -36)
Pyalong Primary School,Government,Primary,2023,144.9,-37.1,POINT (144.9 -37.1)
Puckapunyal Primary School,Government,Primary,2023,145.0,-37.0,POINT (145 -37)
Powlett River Primary School,Government,Primary,2023,145.5,-38.6,POINT (145.5 -38.6)
Portland Secondary College,Government,Secondary,2023,141.6,-38.4,POINT (141.6 -38.4)
Portarlington Primary School,Government,Primary,2023,144.7,-38.1,POINT (144.7 -38.1)
Porepunkah Primary School,Government,Primary,2023,146.9,-36.7,POINT (146.9 -36.7)
Poowong Consolidated School,Government,Primary,2023,145.8,-38.3,POINT (145.8 -38.3)
Pomonal Primary School,Government,Primary,2023,142.6,-37.2,POINT (142.6 -37.2)
Point Lonsdale Primary School,Government,Primary,2023,144.6,-38.3,POINT (144.6 -38.3)
Phoenix P-12 Community College,Government,Pri/Sec,2023,143.8,-37.6,POINT (143.8 -37.6)
Phillip Island Village School,Independent,Primary,2023,145.2,-38.5,POINT (145.2 -38.5)
Perseverance Primary School,Government,Primary,2023,145.3,-38.4,POINT (145.3 -38.4)
Peranbin Primary College,Government,Primary,2023,145.7,-36.6,POINT (145.7 -36.6)
Paynesville Primary School,Government,Primary,2023,147.7,-37.9,POINT (147.7 -37.9)
Patterson River Secondary College,Government,Secondary,2023,145.1,-38.1,POINT (145.1 -38.1)
Parade College,Catholic,Secondary,2023,145.1,-37.7,POINT (145.1 -37.7)
Ouyen P-12 College,Government,Pri/Sec,2023,142.3,-35.1,POINT (142.3 -35.1)
Outdoor School,Government,Pri/Sec,2023,147.2,-36.8,POINT (147.2 -36.8)
Our Lady of the Sacred Heart Primary,Catholic,Primary,2023,144.6,-36.5,POINT (144.6 -36.5)
Our Lady Star of the Sea School,Catholic,Primary,2023,144.5,-38.3,POINT (144.5 -38.3)
