school_name,education_sector,school_type,establishment_year,x,y,coordinates
Boronia K-12 College,Government,Pri/Sec,2023,145.3,-37.9,POINT (145.3 -37.9)
Boort District P-12 School,Government,Pri/Sec,2023,143.7,-36.1,POINT (143.7 -36.1)
Boolarra Primary School,Government,Primary,2023,146.3,-38.4,POINT (146.3 -38.4)
Boisdale Consolidated School,Government,Primary,2023,147.0,-37.9,POINT (147 -37.9)
Birregurra Primary School,Government,Primary,2023,143.8,-38.3,POINT (143.8 -38.3)
Birchip P-12 School,Government,Pri/Sec,2023,142.9,-36.0,POINT (142.9 -36)
Beverford District Primary School,Government,Primary,2023,143.5,-35.2,POINT (143.5 -35.2)
Beulah Primary School,Government,Primary,2023,142.4,-35.9,POINT (142.4 -35.9)
Bethanga Primary School,Government,Primary,2023,147.1,-36.1,POINT (147.1 -36.1)
Berwick Secondary College,Government,Secondary,2023,145.4,-38.0,POINT (145.4 -38)
Benalla P-12 College,Government,Pri/Sec,2023,146.0,-36.6,POINT (146 -36.6)
Bellarine Secondary College,Government,Secondary,2023,144.6,-38.2,POINT (144.6 -38.2)
Beechworth Secondary College,Government,Secondary,2023,146.7,-36.3,POINT (146.7 -36.3)
Carisbrook Primary School,Government,Primary,2023,143.8,-37.1,POINT (143.8 -37.1)
Moyhu Primary School,Government,Primary,2023,146.4,-36.6,POINT (146.4 -36.6)
Good Shepherd College,Independent,Pri/Sec,2023,142.0,-37.8,POINT (142 -37.8)
Goornong Primary School,Government,Primary,2023,144.5,-36.6,POINT (144.5 -36.6)
Marist College Bendigo,Catholic,Pri/Sec,2023,144.2,-36.7,POINT (144.2 -36.7)
Manor Lakes P-12 College,Government,Pri/Sec,2023,144.6,-37.9,POINT (144.6 -37.9)
Manangatang P-12 College,Government,Pri/Sec,2023,142.9,-35.1,POINT (142.9 -35.1)
Malmsbury Primary School,Government,Primary,2023,144.4,-37.2,POINT (144.4 -37.2)
Mallacoota P-12 College,Government,Pri/Sec,2023,149.8,-37.6,POINT (149.8 -37.6)
Maldon Primary School,Government,Primary,2023,144.1,-37.0,POINT (144.1 -37)
Maffra Secondary College,Government,Secondary,2023,147.0,-38.0,POINT (147 -38)
Macarthur Primary School,Government,Primary,2023,142.0,-38.0,POINT (142 -38)
Lyrebird College,Independent,Special,2023,145.4,-37.7,POINT (145.4 -37.7)
Lumen Christi School,Catholic,Primary,2023,146.4,-38.3,POINT (146.4 -38.3)
Lowanna College,Government,Secondary,2023,146.3,-38.2,POINT (146.3 -38.2)
Lorne P-12 College,Government,Pri/Sec,2023,144.0,-38.5,POINT (144 -38.5)
Marlo Primary School,Government,Primary,2023,148.5,-37.8,POINT (148.5 -37.8)
Longwood Primary School,Government,Primary,2023,145.4,-36.8,POINT (145.4 -36.8)
Longford Primary School,Government,Primary,2023,147.1,-38.2,POINT (147.1 -38.2)
Lockington Consolidated School,Government,Primary,2023,144.5,-36.3,POINT (144.5 -36.3)
Loch Sport Primary School,Government,Primary,2023,147.6,-38.1,POINT (147.6 -38.1)
Loch Primary School,Government,Primary,2023,145.7,-38.4,POINT (145.7 -38.4)
Little River Primary School,Government,Primary,2023,144.5,-38.0,POINT (144.5 -38)
Lismore Primary School,Government,Primary,2023,143.3,-38.0,POINT (143.3 -38)
Linton Primary School,Government,Primary,2023,143.6,-37.7,POINT (143.6 -37.7)
Lindenow South Primary School,Government,Primary,2023,147.4,-37.8,POINT (147.4 -37.8)
Lindenow Primary School,Government,Primary,2023,147.5,-37.8,POINT (147.5 -37.8)
Lilydale Heights College,Government,Secondary,2023,145.3,-37.7,POINT (145.3 -37.7)
Leongatha Secondary College,Government,Secondary,2023,146.0,-38.5,POINT (146 -38.5)
Leitchville Primary School,Government,Primary,2023,144.3,-35.9,POINT (144.3 -35.9)
Longwarry Primary School,Government,Primary,2023,145.8,-38.1,POINT (145.8 -38.1)
Marnoo Primary School,Government,Primary,2023,142.9,-36.7,POINT (142.9 -36.7)
Marong Primary School,Government,Primary,2023,144.1,-36.7,POINT (144.1 -36.7)
Maroona Primary School,Government,Primary,2023,142.9,-37.4,POINT (142.9 -37.4)
Mount Ridley P-12 College,Government,Pri/Sec,2023,144.9,-37.6,POINT (144.9 -37.6)
Mount Blowhard Primary School,Government,Primary,2023,143.8,-37.4,POINT (143.8 -37.4)
Mount Beauty Secondary College,Government,Secondary,2023,147.2,-36.7,POINT (147.2 -36.7)
Mornington Secondary College,Government,Secondary,2023,145.1,-38.2,POINT (145.1 -38.2)
Mornington Primary School,Government,Primary,2023,145.0,-38.2,POINT (145 -38.2)
Moriac Primary School,Government,Primary,2023,144.2,-38.2,POINT (144.2 -38.2)
Mooroopna North Primary School,Government,Primary,2023,145.3,-36.3,POINT (145.3 -36.3)
Moonambel Primary School,Government,Primary,2023,143.3,-37.0,POINT (143.3 -37)
Monbulk College,Government,Secondary,2023,145.4,-37.9,POINT (145.4 -37.9)
Mitta Mitta Primary School,Government,Primary,2023,147.4,-36.5,POINT (147.4 -36.5)
Mirboo North Secondary College,Government,Secondary,2023,146.1,-38.4,POINT (146.1 -38.4)
Mirboo North Primary School,Government,Primary,2023,146.2,-38.4,POINT (146.2 -38.4)
Minyip Primary School,Government,Primary,2023,142.6,-36.5,POINT (142.6 -36.5)
Milawa Primary School,Government,Primary,2023,146.4,-36.4,POINT (146.4 -36.4)
Middle Indigo Primary School,Government,Primary,2023,146.7,-36.2,POINT (146.7 -36.2)
Metung Primary School,Government,Primary,2023,147.9,-37.9,POINT (147.9 -37.9)
Merrijig Primary School,Government,Primary,2023,146.3,-37.1,POINT (146.3 -37.1)
Merrigum Primary School,Government,Primary,2023,145.1,-36.4,POINT (145.1 -36.4)
Merino Consolidated School,Government,Primary,2023,141.5,-37.7,POINT (141.5 -37.7)
Meredith Primary School,Government,Primary,2023,144.1,-37.8,POINT (144.1 -37.8)
Mercy Regional College,Catholic,Secondary,2023,143.1,-38.2,POINT (143.1 -38.2)
Merbein P-10 College,Government,Pri/Sec,2023,142.1,-34.2,POINT (142.1 -34.2)
Melba Secondary College,Government,Secondary,2023,145.3,-37.8,POINT (145.3 -37.8)
Meeniyan Primary School,Government,Primary,2023,146.0,-38.6,POINT (146 -38.6)
McClelland Secondary College,Government,Secondary,2023,145.2,-38.1,POINT (145.2 -38.1)
Marysville Primary School,Government,Primary,2023,145.7,-37.5,POINT (145.7 -37.5)
Maryborough Education Centre,Government,Pri/Sec,2023,143.7,-37.0,POINT (143.7 -37)
Goonawarra Primary School,Government,Primary,2023,144.8,-37.6,POINT (144.8 -37.6)
Laverton P-12 College,Government,Pri/Sec,2023,144.8,-37.9,POINT (144.8 -37.9)
Learning Co-Operative School,Independent,Primary,2023,145.2,-37.6,POINT (145.2 -37.6)
Latrobe Special Developmental School,Government,Special,2023,146.6,-38.2,POINT (146.6 -38.2)
Jindivick Primary School,Government,Primary,2023,145.9,-38.0,POINT (145.9 -38)
Jeparit Primary School,Government,Primary,2023,142.0,-36.1,POINT (142 -36.1)
Jamieson Primary School,Government,Primary,2023,146.1,-37.3,POINT (146.1 -37.3)
Inverloch Primary School,Government,Primary,2023,145.7,-38.6,POINT (145.7 -38.6)
Inverleigh Primary School,Government,Primary,2023,144.1,-38.1,POINT (144.1 -38.1)
Hume Central Secondary College,Government,Secondary,2023,144.9,-37.7,POINT (144.9 -37.7)
Horsham College,Government,Secondary,2023,142.2,-36.7,POINT (142.2 -36.7)
Hopetoun P-12 College,Government,Pri/Sec,2023,142.4,-35.7,POINT (142.4 -35.7)
Holy Rosary School,Catholic,Primary,2023,144.7,-36.9,POINT (144.7 -36.9)
Highview College,Independent,Secondary,2023,143.7,-37.1,POINT (143.7 -37.1)
Heywood Consolidated School,Government,Primary,2023,141.6,-38.1,POINT (141.6 -38.1)
Hepburn Primary School,Government,Primary,2023,144.1,-37.3,POINT (144.1 -37.3)
John Monash Science School,Government,Secondary,2023,145.1,-37.9,POINT (145.1 -37.9)
Healesville High School,Government,Secondary,2023,145.5,-37.6,POINT (145.5 -37.6)
Harston Primary School,Government,Primary,2023,145.1,-36.5,POINT (145.1 -36.5)
Harrietville Primary School,Government,Primary,2023,147.1,-36.9,POINT (147.1 -36.9)
Harcourt Valley Primary School,Government,Primary,2023,144.3,-37.0,POINT (144.3 -37)
Halls Gap Primary School,Government,Primary,2023,142.5,-37.1,POINT (142.5 -37.1)
Haddon Primary School,Government,Primary,2023,143.7,-37.6,POINT (143.7 -37.6)
Gunbower Primary School,Government,Primary,2023,144.4,-36.0,POINT (144.4 -36)
Greta Valley Primary School,Government,Primary,2023,146.2,-36.6,POINT (146.2 -36.6)
Great Western Primary School,Government,Primary,2023,142.9,-37.1,POINT (142.9 -37.1)
Grace Christian College Wodonga,Independent,Pri/Sec,2023,146.9,-36.2,POINT (146.9 -36.2)
Goulburn Valley Grammar School,Independent,Pri/Sec,2023,145.4,-36.3,POINT (145.4 -36.3)
Goroke P-12 College,Government,Pri/Sec,2023,141.5,-36.7,POINT (141.5 -36.7)
Gormandale And District Primary School,Government,Primary,2023,146.7,-38.3,POINT (146.7 -38.3)
Hawkesdale P12 College,Government,Pri/Sec,2023,142.3,-38.1,POINT (142.3 -38.1)
Lavers Hill K-12 College,Government,Pri/Sec,2023,143.4,-38.7,POINT (143.4 -38.7)
Kaniva College,Government,Pri/Sec,2023,141.2,-36.4,POINT (141.2 -36.4)
Katandra West Primary School,Government,Primary,2023,145.6,-36.2,POINT (145.6 -36.2)
Lara Secondary College,Government,Secondary,2023,144.4,-38.0,POINT (144.4 -38)
Lang Lang Primary School,Government,Primary,2023,145.6,-38.3,POINT (145.6 -38.3)
Landsborough Primary School,Government,Primary,2023,143.1,-37.0,POINT (143.1 -37)
Lal Lal Primary School,Government,Primary,2023,144.0,-37.7,POINT (144 -37.7)
Lakes Entrance Secondary College,Government,Secondary,2023,148.0,-37.9,POINT (148 -37.9)
Lake Bolac College,Government,Pri/Sec,2023,142.8,-37.7,POINT (142.8 -37.7)
Lake Boga Primary School,Government,Primary,2023,143.6,-35.5,POINT (143.6 -35.5)
Laharum Primary School,Government,Primary,2023,142.3,-36.9,POINT (142.3 -36.9)
Labertouche Primary School,Government,Primary,2023,145.8,-38.0,POINT (145.8 -38)
Kyneton Primary School,Government,Primary,2023,144.5,-37.2,POINT (144.5 -37.2)
Kyabram P-12 College,Government,Pri/Sec,2023,145.1,-36.3,POINT (145.1 -36.3)
Kurunjang Secondary College,Government,Secondary,2023,144.6,-37.7,POINT (144.6 -37.7)
Kurnai College,Government,Secondary,2023,146.4,-38.2,POINT (146.4 -38.2)
Korumburra Secondary College,Government,Secondary,2023,145.8,-38.4,POINT (145.8 -38.4)
Koorlong Primary School,Government,Primary,2023,142.1,-34.3,POINT (142.1 -34.3)
Koonwarra Village School,Independent,Primary,2023,145.9,-38.5,POINT (145.9 -38.5)
Koondrook Primary School,Government,Primary,2023,144.1,-35.6,POINT (144.1 -35.6)
Koo Wee Rup Secondary College,Government,Secondary,2023,145.5,-38.2,POINT (145.5 -38.2)
Kongwak Primary School,Government,Primary,2023,145.7,-38.5,POINT (145.7 -38.5)
Kinglake West Primary School,Government,Primary,2023,145.3,-37.5,POINT (145.3 -37.5)
Kinglake Primary School,Government,Primary,2023,145.4,-37.5,POINT (145.4 -37.5)
Kilbreda College,Catholic,Secondary,2023,145.1,-38.0,POINT (145.1 -38)
Kiewa Valley Primary School,Government,Primary,2023,147.0,-36.3,POINT (147 -36.3)
Kialla West Primary School,Government,Primary,2023,145.4,-36.5,POINT (145.4 -36.5)
Keysborough Secondary College,Government,Secondary,2023,145.2,-38.0,POINT (145.2 -38)
Keilor Downs Secondary College,Government,Secondary,2023,144.8,-37.7,POINT (144.8 -37.7)
Katunga Primary School,Government,Primary,2023,145.5,-36.0,POINT (145.5 -36)
Katamatite Primary School,Government,Primary,2023,145.7,-36.1,POINT (145.7 -36.1)
Yinnar South Primary School,Government,Primary,2023,146.4,-38.4,POINT (146.4 -38.4)
Neerim District Rural Primary School,Government,Primary,2025,145.9,-37.9,POINT (145.9 -37.9)
Barayip Primary School,Government,Primary,2025,144.6,-37.8,POINT (144.6 -37.8)
